denumire,cui,localitate,judet,website,telefon,adresa,caen,acoperire,an_infiintare,programe,sursa,email
SC AUDIT SOLUTIONS SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0744301458,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
UNLOCK BUSINESS CONSULTING SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0753815874,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M41.1 / 0; PNDR 2014-2020 / 0410 / 0; PNDR 2014-2020 / 0610 / 0; PNDR 2014-2020 / 0620 / 0; PNDR 2014,madr_consultanti,
RDI Partners SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0770208429,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0620 / 0; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; RDI Partners SRL - ,madr_consultanti,
THINK DEVELOPMENT & CONSULTANCY SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0747037307,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
AMINTIRI DIN COPILARIE,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0786550265,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,AMINTIRI DIN COPILARIE - Porta; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M112 / 0; PNDR 2007-2013 / M121 / 0; PNDR 2007-2013 / M312 / 0; Proce,madr_consultanti,
CONSTRUIM PROIECTE SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0739341128,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; CONSTRUIM PROIECTE SRL - Porta; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
OPEN INVEST CONSULTING,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0746152527,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; OPEN INVEST CONSULTING - Porta; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
SC UFM CISCONSULT SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0785504181,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M112 / 0; PNDR 2007-2013 / M121 / 0; PNDR 2007-2013 / M122 / 0; PNDR 2007-2013 / M123 / 0; PNDR 2007-,madr_consultanti,
Corcons SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0770303040,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; Corcons SRL - Portalul AFIR - ; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M112 / 1; PNDR 2007-2013 / M121 / 1; PNDR 2007-2013 / M122 / 1; PNDR ,madr_consultanti,
DAITAM,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0040744832,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; DAITAM - Portalul AFIR - infor; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
G&A CONSULTING,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0741750005,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; G&A CONSULTING - Portalul AFIR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
ATENA PRO MANAGEMENT SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0731611103,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,ATENA PRO MANAGEMENT SRL - Por; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
SOFCONS PRO CONSULT,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0750421429,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
INNOVA EU CONSULTING,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0770822062,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; INNOVA EU CONSULTING - Portalu; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
