winner_name,cui,wins,total_value_ron,distinct_buyers
BLACK SEA EUROINVESTMENT---CARLAND S.R.L.---S. C. MCA COMERCIAL S.R.L,,1,62855.64,1
ELLMAR COM---NOVA FOOD SERVICES S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,1,68027.02,1
BLACK SEA EUROINVESTMENT---CARLAND S.R.L.,,1,15379.46,1
ELLMAR COM---OLYMEL FLAMINGO FOOD S.R.L.---S.C. BIOTA COM S.R.L. S.R.L.,,1,2920.12,1
ELLMAR COM---OLYMEL FLAMINGO FOOD S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,,1,11214.26,1
ADCON---JOLDOS PROIMPEX S.R.L.---LECONFEX,,1,1336.99,1
BLACK SEA EUROINVESTMENT---BOWEL PROCESSING---COMSORADI SRL---CRIS-TIM COMPANIE DE FAMILIE---DIACARN FOOD---MATRA S.R.L.---S. C. MCA COMERCIAL S.R.L---SALTEMPO,,1,33575.13,1
ELLMAR COM---PROVIGO TRADE S.R.L.,,1,304.79,1
ELLMAR COM---PROVIGO TRADE S.R.L.---S.C. AMA FRUCT CP S.R.L.,,1,536.42,1
ELLMAR COM---PROVIGO TRADE S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,,1,7040.19,1
Ellmar Com---Saltempo S.R.L.,,1,183125.21,1
ELLMAR COM---S.C. AMA FRUCT CP S.R.L.,,1,4636.8,1
ELLMAR COM---S.C. AMA FRUCT CP S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,,1,14832.77,1
ELLMAR COM---S.C. apex expert S.R.L.,,1,27744.25,1
ELLMAR COM---S.C. BIOTA COM S.R.L. S.R.L.---S.C. SALTEMPO S.R.L. S.R.L.,,1,12386.19,1
BLACK SEA EUROINVESTMENT---BOWEL PROCESSING---COMSORADI SRL---COPANEX S.R.L.---RADICSTAR,,1,44531.87,1
ELLMAR COM---SC BLACK SEA EUROINVESTMENT SRL---VANBET SRL,,1,8007.72,1
ELLMAR COM---S.C. MOPAN SUCEAVA S.A.---SC BLACK SEA EUROINVESTMENT SRL,,1,1266.38,1
ELLMAR COM---S.C. MOPAN SUCEAVA S.A.---STEDYAN COM S.R.L.,,1,2156.02,1
BKT FOREST---RARVALSERV SRL,,1,301472.32,1
ELLMAR COM---S.C NISARA IMPEX S.R.L---S.C. SALTEMPO S.R.L. S.R.L.,,1,20942.96,1
ELLMAR COM---S.C NISARA IMPEX S.R.L---STEDYAN COM S.R.L.,,1,5069.66,1
ELLMAR COM---S.C NISARA IMPEX S.R.L---VANBET SRL,,1,5973.79,1
ELLMAR COM---S.C. SALTEMPO S.R.L. S.R.L.,,1,7461.14,1
ELLMAR COM---S.C. SALTEMPO S.R.L. S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,,1,2146.7,1
BISCOTTO SRL---FAGUL IMPEX---G T P D,,1,790161.95,1
ADCON---IUSTART---SIGISMUND COM,,1,5030.99,1
ELLMAR COM---STEDYAN COM S.R.L.---VANBET SRL,,1,20826.98,1
Ellmar Com---Strungariu & Co Rigams L M,,1,52314.4,1
Ellmar Com---Strungariu & Co Rigams LM SNC,,1,38404.4,1
ADCON---IUSTART---OLYMEL FLAMINGO FOOD S.R.L.,,1,8127.6,1
BISCOTTO SRL---DYNAMIC BUSINESS SERVICE,,1,455451.47,1
ELLY FOOD TRADIŢIONAL---EUROGRUP BOGDAN---ZEC IMPEX,,1,4980.43,1
ELLY FOOD TRADIŢIONAL---EUROPEAN GROUP FOOD---MATRA S.R.L.---PROVIGO TRADE S.R.L.,,1,85819.16,1
ELLY FOOD TRADIŢIONAL---FILVAS SERVCOM---ILVAS---LEGUME FRUCTE COM S.R.L.,,1,13293.45,1
ELLY FOOD TRADIŢIONAL---FILVAS SERVCOM---LEGUME FRUCTE COM S.R.L.,,1,9097.95,1
ADCON---IUSTART---METRANS,,1,13140.55,1
ELLY FOOD TRADIŢIONAL---JOLDOS PROIMPEX S.R.L.---LECONFEX,,1,8897.68,1
S.C NISARA IMPEX S.R.L---SANLACTA SRL,,1,52788.03,1
ELLY FOOD TRADIŢIONAL---LAKTOTRIO 2001 PROD,,1,63938.52,1
S.C NISARA IMPEX S.R.L---S.C. AGRA'S S.A.,,1,18830.84,1
S.C NISARA IMPEX S.R.L---S.C. AMA FRUCT CP S.R.L.,,1,17253.64,1
ELLY FOOD TRADIŢIONAL---LECONFEX---SIMULTAN S.R.L.,,1,55300.21,1
Biscotto S.R.L.---Click Top Management---Fagul Impex---G T P D---Isis-Pan---S.C. Patisgal S.R.L.---Velrom,,1,1965962.0,1
ELLY FOOD TRADIŢIONAL---LECONFEX---ZEC IMPEX,,1,1266.91,1
ELLY FOOD TRADIŢIONAL---OLYMEL FLAMINGO FOOD S.R.L.,,1,13413.1,1
ELLY FOOD TRADIŢIONAL---PROVIGO TRADE S.R.L.,,1,160230.77,1
ELLY FOOD TRADIŢIONAL---S.C NISARA IMPEX S.R.L---ZEC IMPEX,,1,6910.1,1
ELLY FOOD TRADIŢIONAL---UNICARM,,1,72029.69,1
S.C NISARA IMPEX S.R.L---S.C. BIOTA COM S.R.L. S.R.L.---S.C. SALTEMPO S.R.L. S.R.L.,,1,9214.61,1
Enea Alina Impex S.R.L.,,1,85058.1,1
Biotur Exim S.R.L---S.C. Metitex Agro Food S.R.L.,,1,68332.88,1
ERA GLOBAL S.R.L.---LEGUME FRUCTE COM S.R.L.---STEDYAN COM S.R.L.,,1,79.03,1
ERA GLOBAL S.R.L.---MATRA S.R.L.---RADICSTAR S.R.L,,1,9103.74,1
ERBACOM---PROVIGO TRADE S.R.L.,,1,281059.76,1
BIOTA COM S.R.L.---VANBET SRL,,1,4966.78,1
BIOTA COM S.R.L.---STEDYAN COM S.R.L.,,1,23365.23,1
S.C NISARA IMPEX S.R.L---S.C. CRIS-TIM FAMILY HOLDING S.R.L.,,1,18737.45,1
EURICOM TRADE SRL---LECONFEX S.R.L.---S.C. PREXICO S.R.L. S.R.L.,,1,157.74,1
EURICOM TRADE SRL---LEGUME FRUCTE COM S.R.L.,,1,591.74,1
EURICOM TRADE SRL---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,1,23199.38,1
EURICOM TRADE SRL---LEGUME FRUCTE COM S.R.L.---STEDYAN COM S.R.L.,,1,50.58,1
Euricom Trade S.R.L.---Marvalex Duo B S.R.L.---Vel Pitar,,1,24959.43,1
Euricom Trade S.R.L.---Ned COM---S.C. Panipan S.R.L.,,1,52878.08,1
EURICOM TRADE SRL---NORDIC IMPEX S.R.L.---TARPI S.R.L.,,1,1457.12,1
Euricom Trade S.R.L.---Olymel Flamingo Food S.R.L.,,1,35309.67,1
S.C NISARA IMPEX S.R.L---S.C. ELIT S.R.L. S.R.L.,,1,38905.05,1
EURICOM TRADE SRL---OLYMEL FLAMINGO FOOD S.R.L.---S.C. PREXICO S.R.L. S.R.L.,,1,1277.72,1
EURICOM TRADE SRL---OLYMEL FLAMINGO FOOD S.R.L.---SISTEMSIB MP,,1,434.04,1
EURICOM TRADE SRL---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.,,1,1589.32,1
EURICOM TRADE SRL---OLYMEL FLAMINGO FOOD S.R.L.---TARPI S.R.L.,,1,1704.52,1
EURICOM TRADE SRL---PROVISION RETAIL PROD SRL,,1,11978.17,1
S.C NISARA IMPEX S.R.L---S.C. FRUCT IMPORT EXPORT S.R.L.,,1,25948.39,1
EURICOM TRADE SRL---S.C. PREXICO S.R.L. S.R.L.---TARPI S.R.L.,,1,13095.51,1
EURO BRANDS TRADING---Harghita Retail,,1,4608.35,1
EURO BRANDS TRADING---MEDIPLUS EXIM,,1,1170.37,1
EUROCAS TEHNICA ALIMENTARA SRL,,1,143645.29,1
BIOTA COM S.R.L.---S. C. MCA COMERCIAL S.R.L---STEDYAN COM,,1,14456.15,1
BIOTA COM S.R.L.---SALTEMPO S.R.L.,,1,7867.23,1
EUROGRUP BOGDAN---FERMA DENIS---LEGUME FRUCTE COM S.R.L.,,1,28200.47,1
EUROGRUP BOGDAN---GEOCOR TRADE IMP-EXP S.R.L.,,1,25781.04,1
BIOTA COM S.R.L.---PROVIGO TRADE S.R.L.---S. C. MCA COMERCIAL S.R.L,,1,93629.99,1
EUROGRUP BOGDAN---JOLDOS PROIMPEX S.R.L.---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,,1,48547.04,1
EUROGRUP BOGDAN---KONSTA SPLENDID S.R.L.,,1,2163.24,1
EUROGRUP BOGDAN---KONSTA SPLENDID S.R.L.---NORDIC IMPEX S.R.L.,,1,1667.78,1
EUROGRUP BOGDAN---KONSTA SPLENDID S.R.L.---S.C. AMA FRUCT CP S.R.L.,,1,40.96,1
EUROGRUP BOGDAN---KONSTA SPLENDID S.R.L.---TARPI S.R.L.,,1,19327.48,1
EUROGRUP BOGDAN---LARISCH EXIM---R & B COM S.R.L.,,1,1814.94,1
EUROGRUP BOGDAN---LEGUME FRUCTE COM S.R.L.---M.A.CRISTINA S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,,1,11161.36,1
EUROGRUP BOGDAN---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.,,1,558.77,1
EUROGRUP BOGDAN---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.---PICOLACT PRODCOM SRL---STEDYAN COM,,1,51457.02,1
BIOTA COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM,,1,10783.3,1
BIOTA COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---S.C NISARA IMPEX S.R.L---VANBET SRL---ZIM Prestserv,,1,2083.38,1
EUROGRUP BOGDAN---M.A.CRISTINA S.R.L.,,1,5243.93,1
EUROGRUP BOGDAN---M.A.CRISTINA S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,,1,4526.19,1
EUROGRUP BOGDAN---NICBAC PROD,,1,114599.21,1
S.C NISARA IMPEX S.R.L---S.C. RAMA CLAU S.R.L.---STEDYAN COM S.R.L.,,1,2881.59,1
EUROGRUP BOGDAN---NORDIC IMPEX S.R.L.---TARPI S.R.L.,,1,10009.14,1
EUROGRUP BOGDAN---OLYMEL FLAMINGO FOOD S.R.L.,,1,122.18,1
BIOTA COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,1,0.11,1
S.C NISARA IMPEX S.R.L---S.C. SALTEMPO S.R.L. S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,,1,5391.65,1
EUROGRUP BOGDAN---PARHAN COM S.R.L.---ROMICS,,1,12613.52,1
EUROGRUP BOGDAN---PARHAN COM S.R.L.---ROMICS---STEDYAN COM S.R.L.,,1,467.73,1
EUROGRUP BOGDAN---PARHAN COM S.R.L.---S.C NISARA IMPEX S.R.L,,1,100881.56,1
EUROGRUP BOGDAN---PARHAN COM S.R.L.---SIGISMUND COM,,1,58325.39,1
BIOTA COM S.R.L.---METRO CASH & CARRY ROMANIA---VANBET SRL,,1,3650.66,1
BIOTA COM S.R.L.---GRANBIS S.R.L---MIRMAN COMPANY SRL---S.C. SALTEMPO S.R.L. S.R.L.---STEDYAN COM S.R.L.---TUDIRIN MARATON,,1,2832.28,1
EUROGRUP BOGDAN---RAION S.R.L.,,1,14824.75,1
BIOTA COM S.R.L.---GRANBIS S.R.L---M.A.CRISTINA S.R.L.---MIRMAN COMPANY SRL---S.C. VASCAR S.A. S.R.L.---STEDYAN COM S.R.L.---TUDIRIN MARATON,,1,12306.91,1
EUROGRUP BOGDAN---S.C. AMA FRUCT CP S.R.L.,,1,1085.04,1
BIOTA COM S.R.L.---GEOCOR TRADE IMP-EXP---STEDYAN COM S.R.L.,,1,5120.39,1
EUROGRUP BOGDAN---S.C NISARA IMPEX S.R.L---SIGISMUND COM,,1,9936.53,1
S.C Nisara Impex S.R.L---S.C. Selgros Cash&carry S.R.L.---Vranlact Distribution,,1,12902.57,1
EUROGRUP BOGDAN---S.C. ROMICS S.R.L.---S.C. S M RECOSEMTRACT S.R.L.,,1,11953.93,1
EUROGRUP BOGDAN---SIGISMUND COM,,1,84557.01,1
EUROGRUP BOGDAN---SIGISMUND COM---Scandia Food,,1,25751.83,1
EUROGRUP BOGDAN---S M RECOSEMTRACT---SIGISMUND COM,,1,33875.85,1
EUROGRUP BOGDAN---TARPI S.R.L.,,1,41278.91,1
EUROGRUP BOGDAN---ZEC IMPEX,,1,3041.79,1
BIOTA COM S.R.L.---GEOCOR TRADE IMP-EXP---S.C NISARA IMPEX S.R.L---ZIM Prestserv,,1,2511.21,1
BIOTA COM S.R.L.---FILVAS SERVCOM,,1,3.35,1
BIOTA COM S.R.L.---DOIMAN COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.---VANBET SRL,,1,4712.4,1
BIOTA COM S.R.L.---DOIMAN COM S.R.L.---METRO CASH & CARRY ROMANIA---STEDYAN COM S.R.L.---ZIM Prestserv,,1,6014.51,1
EUROPEAN GROUP FOOD---ILVAS---SPICUL 2,,1,1825.08,1
EUROPEAN GROUP FOOD---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,1,34230.32,1
EUROPEAN GROUP FOOD---MATRA S.R.L.---PROVIGO TRADE S.R.L.,,1,804358.53,1
EUROPEAN GROUP FOOD---OLYMEL FLAMINGO FOOD S.R.L.,,1,36075.1,1
EUROPEAN GROUP FOOD---OLYMEL FLAMINGO FOOD S.R.L.---S. C. MCA COMERCIAL S.R.L,,1,4402.9,1
EUROPEAN GROUP FOOD---OLYMEL FLAMINGO FOOD S.R.L.---SELGROS CASH&CARRY SRL,,1,56780.16,1
EUROPEAN GROUP FOOD---S.C. BIOTA COM S.R.L. S.R.L.---S.C. SALTEMPO S.R.L. S.R.L.,,1,2118.1,1
BIOTA COM S.R.L.---DOIMAN COM S.R.L.---GEOCOR TRADE IMP-EXP---METRO CASH & CARRY ROMANIA---ZIM Prestserv,,1,9951.84,1
BIOTA COM S.R.L.---DIACARN FOOD---STEDYAN COM,,1,16696.13,1
BIOTA COM S.R.L.---DIACARN FOOD---S. C. MCA COMERCIAL S.R.L---SELGROS CASH&CARRY SRL---STEDYAN COM,,1,48765.62,1
Eximal Impex---Geocor Trade Imp-Exp S.R.L.---Leconfex S.R.L.,,1,24376.96,1
Eximal Impex---Ilmano,,1,8364.91,1
EXIMAL IMPEX---JOLDOS PROIMPEX S.R.L.,,1,16222.9,1
BIOTA COM S.R.L.---DIACARN FOOD---S. C. MCA COMERCIAL S.R.L,,1,27192.12,1
BIOTA COM S.R.L.---DIACARN FOOD---NICBAC PROD,,1,19049.07,1
BIOTA COM S.R.L.---DIACARN FOOD---LEGUME FRUCTE COM S.R.L.---STEDYAN COM,,1,29738.49,1
S.C NISARA IMPEX S.R.L---SIGISMUND COM,,1,63996.79,1
BIOTA COM S.R.L.---DIACARN FOOD---GEOCOR TRADE IMP-EXP,,1,22005.49,1
EXIMAL IMPEX---LECONFEX S.R.L.---METRO CASH & CARRY ROMANIA---PARHAN COM S.R.L.,,1,2349.69,1
BIOTA COM S.R.L.---Cristim 2 Prodcom---SALTEMPO S.R.L.,,1,30211.44,1
EXIMAL IMPEX---LECONFEX---STEDYAN COM,,1,6481.76,1
Adcon---Geocor Trade Imp-Exp S.R.L.---Ilmano,,1,22783.81,1
EXIMAL IMPEX---METRO CASH & CARRY ROMANIA---PARHAN COM S.R.L.,,1,345.61,1
BIOTA COM S.R.L.---COREX S.R.L.---FILVAS SERVCOM,,1,5.04,1
EXIMAL IMPEX---PARHAN COM S.R.L.---PICOLACT PRODCOM SRL,,1,2024.62,1
EXIMAL IMPEX---PARHAN COM S.R.L.---ROALMISA INV,,1,42987.61,1
BIOTA COM S.R.L.---COREX S.R.L.---ELCOMER ACHIZITII,,1,2.54,1
EXIMAL IMPEX---PARHAN COM S.R.L.---SC.DRAGON.RC.SRL,,1,10821.23,1
EXIMAL IMPEX---PARHAN COM S.R.L.---STEDYAN COM S.R.L.,,1,58578.69,1
EXIMAL IMPEX---Safeway International Impex SRL,,1,5851.87,1
S.C NISARA IMPEX S.R.L---VIVOPREST DISTRIBUTION S.R.L.,,1,617468.08,1
BIOTA COM S.R.L.---COPANEX S.R.L.---GRANBIS S.R.L---S.C. SALTEMPO S.R.L. S.R.L.---S.C. VASCAR S.A. S.R.L.---TUDIRIN MARATON,,1,20374.69,1
BIOTA COM S.R.L.---COPANEX S.R.L.---GRANBIS S.R.L---S.C. GREENLEG DISTRIBUTION S.R.L.---S.C. SALTEMPO S.R.L. S.R.L.---S.C. VASCAR S.A. S.R.L.---TUDIRIN MARATON,,1,24822.88,1
BIOTA COM S.R.L.---COPANEX S.R.L.---GRANBIS S.R.L---S.C. GREENLEG DISTRIBUTION S.R.L.---S.C. SALTEMPO S.R.L. S.R.L.---S.C. VASCAR S.A. S.R.L.,,1,26299.71,1
BIOTA COM S.R.L.---COMSORADI SRL---CRIS-TIM COMPANIE DE FAMILIE---DIACARN FOOD---SELGROS CASH&CARRY SRL,,1,8127.6,1
S.C NISARA IMPEX S.R.L---VRANLACT DISTRIBUTION,,1,25235.29,1
ADCON---GEOCOR TRADE IMP-EXP---LECONFEX S.R.L.,,1,3943.53,1
BIOTA COM S.R.L.---COMSORADI SRL---CRIS-TIM COMPANIE DE FAMILIE---DIACARN FOOD---SALTEMPO S.R.L.,,1,10565.88,1
BIOTA COM S.R.L.---CARPATIS---VANBET SRL,,1,2075.94,1
Fagul Impex---Utopia Prod Com,,1,482298.58,1
BIOTA COM S.R.L.---CARLAND S.R.L.---STEDYAN COM,,1,19808.16,1
BIOTA COM S.R.L.---BLACK SEA EUROINVESTMENT---COMSORADI SRL---DIACARN FOOD---MATRA S.R.L.---SALTEMPO---STAR PRES,,1,39890.28,1
FALCONS---GEOCOR TRADE IMP-EXP S.R.L.,,1,8809.75,1
FALCONS---GEOCOR TRADE IMP-EXP---LACTATE NATURA---OLYMEL FLAMINGO FOOD S.R.L.,,1,5494.38,1
FALCONS---GEOCOR TRADE IMP-EXP---OLYMEL FLAMINGO FOOD S.R.L.,,1,50226.73,1
FALCONS---GEOCOR TRADE IMP-EXP---OLYMEL FLAMINGO FOOD S.R.L.---SENTROMCRIS,,1,11358.64,1
FALCONS---GEOCOR TRADE IMP-EXP S.R.L.---S. C. MCA COMERCIAL S.R.L,,1,14117.05,1
FALCONS---LEGUME FRUCTE COM S.R.L.,,1,6647.64,1
BIOTA COM S.R.L.---BLACK SEA EUROINVESTMENT---COMSORADI SRL---DIACARN FOOD---GRANBIS---MATRA S.R.L.---S. C. MCA COMERCIAL S.R.L---SALTEMPO---STAR PRES,,1,96068.27,1
FALCONS---LEGUME FRUCTE COM S.R.L.---S.C. AMA FRUCT CP S.R.L.,,1,9161.44,1
FALCONS---LEGUME FRUCTE COM S.R.L.---S.C NISARA IMPEX S.R.L,,1,29366.7,1
BIOTA COM S.R.L.---BLACK SEA EUROINVESTMENT---COMSORADI SRL---DIACARN FOOD---GRANBIS---MATRA S.R.L.---S. C. MCA COMERCIAL S.R.L---SALTEMPO,,1,74465.1,1
FALCONS---M.A.CRISTINA S.R.L.,,1,13894.19,1
FALCONS---MATRA S.R.L.,,1,20728.68,1
FALCONS---METRANS---OLYMEL FLAMINGO FOOD S.R.L.,,1,20224.45,1
FALCONS---NED COM---OLYMEL FLAMINGO FOOD S.R.L.,,1,8127.6,1
FALCONS---NED COM---PARHAN COM S.R.L.,,1,1220.36,1
ADCON---EXIMAL IMPEX---TRANSEURO,,1,242.77,1
BIOCHEM ANIMAL HEALTH AND NUTRITION S.R.L.---FARMAVET,,1,35111.25,1
FALCONS---OLYMEL FLAMINGO FOOD S.R.L.---PAM ALY 2007,,1,135719.99,1
FALCONS---OLYMEL FLAMINGO FOOD S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,,1,32170.48,1
FALCONS---OLYMEL FLAMINGO FOOD S.R.L.---S. C. MCA COMERCIAL S.R.L,,1,13146.6,1
FALCONS---OLYMEL FLAMINGO FOOD S.R.L.---S.C NISARA IMPEX S.R.L,,1,136308.69,1
FALCONS---OLYMEL FLAMINGO FOOD S.R.L.---SENTROMCRIS,,1,14676.5,1
Adcon---Eximal Impex---Ilmano,,1,4282.13,1
FALCONS---PARHAN COM S.R.L.---SELGROS CASH&CARRY SRL,,1,2918.13,1
FALCONS---SC BLACK SEA EUROINVESTMENT SRL,,1,13967.31,1
BIA OPTIME PRODUCTION S.R.L.---BLACK SEA EUROINVESTMENT---MOPAN SUCEAVA,,1,41891.59,1
FALCONS---S.C NISARA IMPEX S.R.L---STEDYAN COM,,1,6076.03,1
FALCONS---S.C NISARA IMPEX S.R.L---VRANLACT DISTRIBUTION,,1,7097.84,1
FALCONS---SENTROMCRIS,,1,4007.84,1
BETTY-COM---DEITACOM SRL,,1,47291.53,1
BETTY-COM,,1,47291.53,1
FALCONS---VRANLACT DISTRIBUTION,,1,9588.54,1
FARINSAN S.A.,,1,1148924.47,1
Farmaceutica Remedia Distribution & Logistics S.R.L.,,1,3345810.06,1
Best Price Magazin---Granbis---NED Com,,1,46437.63,1
ADCON---EUROGRUP BOGDAN---S.C. ROMICS S.R.L.,,1,18380.92,1
Best Price Magazin---Duseni Pan CTA,,1,31784.76,1
Best Banat Distribution SRL---LECONFEX S.R.L.---S.C. ROMICS S.R.L.---SIGISMUND COM,,1,15741.29,1
S.C. Oniros International S.R.L.---Super Ava S.R.L.,,1,82651.14,1
ACVILA---ADA LACTA DISTRIBUTION S.R.L.---SIMULTAN S.R.L.,,1,25748.25,1
Best Banat Distribution SRL---LECONFEX S.R.L.---S.C. ROMICS S.R.L.---S.C. Safeway International Impex SRL S.R.L.---SIGISMUND COM,,1,137.89,1
Farten Food S.R.L.---Romics,,1,28515.9,1
Best Banat Distribution SRL---LECONFEX S.R.L.---S.C. INTER CONECTER  S.R.L. S.R.L.---S.C. ROMICS S.R.L.---SIGISMUND COM,,1,7959.77,1
FELSIN FARM S.R.L.,,1,219.91,1
Best Banat Distribution SRL---COPANEX S.R.L.---LECONFEX S.R.L.---S.C. ROMICS S.R.L.---SIGISMUND COM,,1,41732.4,1
FERMA DENIS---INTER CONECTER  S.R.L.---SIGISMUND COM,,1,5862.15,1
FERMA DENIS---LECONFEX,,1,87778.12,1
FERMA DENIS---LECONFEX---SIGISMUND COM,,1,27064.92,1
BEST ACHIZITII---S.C. AMA FRUCT CP S.R.L.---SC BLACK SEA EUROINVESTMENT SRL---STEDYAN COM S.R.L.,,1,9855.33,1
BEST ACHIZITII---ROTMAN INDUSTRIES SRL---STIMPEX,,1,3326748.01,1
ADCON---EUROGRUP BOGDAN---S.C. AMA FRUCT CP S.R.L.,,1,160.2,1
FILVAS SERVCOM---GEOCOR TRADE IMP-EXP---LEGUME FRUCTE COM S.R.L.,,1,5807.99,1
FILVAS SERVCOM---GEOCOR TRADE IMP-EXP---METRO CASH & CARRY ROMANIA---OLYMEL FLAMINGO FOOD S.R.L.---VANBET SRL,,1,2046.17,1
FILVAS SERVCOM---GEOCOR TRADE IMP-EXP---OLYMEL FLAMINGO FOOD S.R.L.,,1,3403.43,1
FILVAS SERVCOM---GEOCOR TRADE IMP-EXP---OLYMEL FLAMINGO FOOD S.R.L.---VANBET SRL,,1,2480.21,1
FILVAS SERVCOM---GEOCOR TRADE IMP-EXP---VANBET SRL,,1,5906.74,1
FILVAS SERVCOM---ILVAS---VANBET SRL,,1,8306.41,1
FILVAS SERVCOM---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM,,1,3837.04,1
ADCON---EUROGRUP BOGDAN---NORDIC IMPEX S.R.L.,,1,3620.85,1
FILVAS SERVCOM---MOPAN SUCEAVA---STEDYAN COM,,1,296.66,1
FILVAS SERVCOM---OLYMEL FLAMINGO FOOD S.R.L.,,1,4.83,1
ACVILA---Cristim - Tim Companie de Familie SRL---S.C. ROMICS S.R.L.---SIGISMUND COM,,1,136200.75,1
FILVAS SERVCOM---OLYMEL FLAMINGO FOOD S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,,1,534.91,1
FILVAS SERVCOM---PARHAN COM S.R.L.,,1,35528.16,1
FILVAS SERVCOM---PARHAN COM S.R.L.---VANBET SRL,,1,3240.88,1
Filvas Servcom---S.C. Romlacta S.A.,,1,33702.95,1
BEST ACHIZITII---NERAMO DISTRIBUTION---ROTMAN INDUSTRIES SRL---STIMPEX,,1,3090521.18,1
Best Achiziții---Company 94 Pirnau S.R.L.---Geocor Trade Imp-Exp---Olymel Flamingo Food S.R.L.,,1,26786.27,1
ADCON---EUROGRUP BOGDAN---KONSTA SPLENDID S.R.L.,,1,3720.65,1
FILVAS SERVCOM---STEDYAN COM,,1,441.85,1
Bercean Impex S.R.L.,,1,141938.32,1
BBD BEST BRANDS DISTRIBUTION S.R.L.---COPANEX S.R.L.---S.C. SALTEMPO S.R.L. S.R.L.---S.C. VASCAR S.A. S.R.L.,,1,14702.34,1
First Project Consulting S.R.L.,,1,31192.09,1
BBD BEST BRANDS DISTRIBUTION S.R.L.---BIOTA COM S.R.L.---S.C. SALTEMPO S.R.L. S.R.L.,,1,6552.67,1
BBD BEST BRANDS DISTRIBUTION S.R.L.,,1,2957.91,1
Bansimex Prod S.R.L.,,1,537.17,1
Baby Business SRL---ZIM Prestserv,,1,15946.36,1
Baby Business SRL---SIGISMUND COM---UNICARM,,1,36232.86,1
FIVE CONTINENTS S.R.L.---GECOR GROUP GL SRL,,1,193180.13,1
FIVE CONTINENTS S.R.L.---GEOCOR TRADE IMP-EXP S.R.L.---SPICUL 2---VANBET SRL,,1,25862.03,1
FIVE CONTINENTS S.R.L.---KALMAN DISTRIBUTION S.R.L.,,1,13992.25,1
FIVE CONTINENTS S.R.L.---KALMAN DISTRIBUTION S.R.L.---OVISIM IMPEX S.R.L.,,1,68444.43,1
SC PANIPAN SRL,,1,19105.76,1
FIVE CONTINENTS S.R.L.---OVISIM IMPEX S.R.L.,,1,149646.54,1
Five Continents S.R.L.---RAM---Spicul 2,,1,311679.55,1
FIVE CONTINENTS S.R.L.---S.C. AMA FRUCT CP S.R.L.---SC BLACK SEA EUROINVESTMENT SRL---STEDYAN COM S.R.L.,,1,5355.68,1
ADCON---EURICOM TRADE SRL---TARPI S.R.L.,,1,5462.41,1
Five Continents S.R.L.---Strungariu & Co Rigams LM SNC,,1,57240.81,1
Baby Business SRL---PARHAN COM S.R.L.---SIGISMUND COM,,1,9724.32,1
Fleischparty SRL---MATRA S.R.L.---NORDIC IMPEX S.R.L.,,1,218741.51,1
Fleischparty SRL---Scandia Food Frozen,,1,127550.95,1
Baby Business SRL---MO-NEY RETURN---PARHAN COM S.R.L.,,1,23334.42,1
Baby Business SRL---ILM-COM S.R.L.---STEDYAN COM S.R.L.,,1,2204.21,1
FLORINA S.R.L.---GIGI & CO S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---SABY MIRIFIC SRL---SC REAL BIALOREX SRL,,1,56388.61,1
Baby Business SRL---Harghita Retail---ZIM Prestserv,,1,129716.55,1
FLORINA S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---SC CALIFARUL NEGRU SRL,,1,75248.54,1
FLORINA S.R.L.---SC CALIFARUL NEGRU SRL,,1,8238.43,1
FLUNATUR EXPRESS S.R.L.---S.C. AMA FRUCT CP S.R.L.---STEDYAN COM S.R.L.,,1,50846.63,1
Flutur Alexa-Mihai - Persoana fizica autorizata,,1,66493.96,1
Baby Business SRL---Harghita Retail---ILM-COM S.R.L.,,1,669.55,1
FOREST PRAGMATIC SRL,,1,28243.42,1
Baby Business SRL---Harghita Retail,,1,2072.54,1
