winner_name,wins,total_value_ron,first_win,last_win,distinct_buyers,distinct_cpvs
BLACK SEA EUROINVESTMENT---MIRMAN COMPANY  SRL---S. C. MCA COMERCIAL S.R.L---SALTEMPO---STAR PRES,1,98311.49,,,1,1
BLACK SEA EUROINVESTMENT---MATRA S.R.L.,1,6408.05,,,1,1
ACVILA---DOIMAN COM S.R.L.---DYNAMIC BUSINESS SERVICE,1,25613.82,,,1,1
S.C. Mini Pan Prod S.R.L.,1,50928.29,,,1,1
DOIMAN COM S.R.L.---PROVIGO TRADE S.R.L.---PROVISION RETAIL PROD SRL---VIC PROD S.R.L.,1,1682.19,,,1,1
DOIMAN COM S.R.L.---PROVISION RETAIL PROD SRL---STEDYAN COM S.R.L.,1,11656.17,,,1,1
S.C. Modor Prest S.R.L.,1,502.79,,,1,1
Doiman Com S.R.L.---Radicstar S.R.L.,1,40845.47,,,1,1
BLACK SEA EUROINVESTMENT---MAKDOOR DISTRIBUTION,1,815936.97,,,1,1
Doiman Com S.R.L.---S.C. Astoria Total Service A & G S.R.L.---S.C. Irinel S.R.L.,1,11656.33,,,1,1
DOIMAN COM S.R.L.---S.C. COMPANY 94 PIRNAU SRL S.R.L.,1,523.47,,,1,1
Doiman Com S.R.L.---Selgros Distribuție S.R.L.,1,31003.03,,,1,1
DOIMAN COM S.R.L.---SIGISMUND COM---SIMULTAN S.R.L.,1,83831.1,,,1,1
DOIMAN COM S.R.L.---SIGISMUND COM---STEDYAN COM S.R.L.,1,5179.02,,,1,1
BLACK SEA EUROINVESTMENT---LEGUME FRUCTE COM S.R.L.---STEDYAN COM,1,10871.98,,,1,1
Dolce Reale,1,6222.85,,,1,1
DORBOB PROD---LARISCH EXIM,1,26643.68,,,1,1
DORBOB PROD---LARISCH EXIM---S.C. CHEREGI PROD SERV S.R.L.,1,93464.2,,,1,1
DORBOB PROD---S.C. CHEREGI PROD SERV S.R.L.,1,56330.14,,,1,1
S.C. MOIEXIM 79 S.R.L.,1,25040.83,,,1,1
DOR INVEST---MANELEMN S.R.L.,1,5987.1,,,1,1
DOR INVEST---MANELEMN S.R.L.---Oct-Trans Srl,1,29468.99,,,1,1
DOR INVEST---Oct-Trans Srl,1,19070.33,,,1,1
BLACK SEA EUROINVESTMENT---LEGUME FRUCTE COM S.R.L.,1,19457.48,,,1,1
BLACK SEA EUROINVESTMENT---LACTATE NATURA---OLYMEL FLAMINGO FOOD S.R.L.,1,11898.81,,,1,1
BLACK SEA EUROINVESTMENT---IUSTART---OLYMEL FLAMINGO FOOD S.R.L.,1,36753.73,,,1,1
BLACK SEA EUROINVESTMENT---HARPEK---PARHAN COM S.R.L.,1,3169.85,,,1,1
S.C. MONTANA FOREST S.R.L.,1,14477.29,,,1,1
Dragon.RC,1,69649.26,,,1,1
BLACK SEA EUROINVESTMENT---HARPEK---OLYMEL FLAMINGO FOOD S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,1,12151.86,,,1,1
DRAGON.RC---ELDI BRUTARIA S.R.L.---TRANSEURO,1,99478.84,,,1,1
DRAGON.RC---ELDI BRUTARIA S.R.L.---VALYBIA COM,1,384468.15,,,1,1
DRAGON.RC---ELDI BRUTARIA S.R.L.---VARGA QUATTRO,1,30795.94,,,1,1
DRAGON.RC---ELDI BRUTARIA S.R.L.---VEL PITAR,1,56324.29,,,1,1
BLACK SEA EUROINVESTMENT---HARPEK---OLYMEL FLAMINGO FOOD S.R.L.---PARHAN COM S.R.L.,1,20902.88,,,1,1
DRAGON.RC---EXIMAL IMPEX---PARHAN COM S.R.L.,1,2999.09,,,1,1
DRAGON.RC---EXIMAL IMPEX---Safeway International Impex SRL,1,1419.5,,,1,1
Dragon.RC---Fagul Impex---Valybia Com,1,17555.62,,,1,1
BLACK SEA EUROINVESTMENT---GRANBIS---STEDYAN COM,1,669.19,,,1,1
DRAGON.RC---LECONFEX S.R.L.---PARHAN COM S.R.L.,1,12080.69,,,1,1
DRAGON.RC---LECONFEX S.R.L.---TRANSEURO,1,3732.72,,,1,1
DRAGON.RC---LECONFEX S.R.L.---VALYBIA COM,1,5073.45,,,1,1
DRAGON.RC---LECONFEX---TRANSEURO,1,950.01,,,1,1
DRAGON.RC---ONCOS TRANSILVANIA,1,87759.75,,,1,1
BLACK SEA EUROINVESTMENT---GRANBIS---S. C. MCA COMERCIAL S.R.L---SALTEMPO---STAR PRES---STEDYAN COM,1,10533.37,,,1,1
BLACK SEA EUROINVESTMENT---GRANBIS---MIRMAN COMPANY  SRL---STAR PRES,1,117630.48,,,1,1
ADCON---LECONFEX S.R.L.---S.C. INTER CONECTER  S.R.L. S.R.L.,1,1478.21,,,1,1
BLACK SEA EUROINVESTMENT---GRANBIS---MIRMAN COMPANY  SRL---S. C. MCA COMERCIAL S.R.L---STEDYAN COM---VIVOPREST DISTRIBUTION S.R.L.,1,26159.43,,,1,1
BLACK SEA EUROINVESTMENT---GRANBIS---METRANS,1,23778.92,,,1,1
DRAGON.RC---VALYBIA COM---VARGA QUATTRO,1,54617.49,,,1,1
Dream Fish S.R.L.,1,173382.1,,,1,1
ADCON---LECONFEX S.R.L.---SC APICRIS NATURA SRL,1,12401.05,,,1,1
BLACK SEA EUROINVESTMENT---GRANBIS---MARGES FAMILY,1,289111.19,,,1,1
BLACK SEA EUROINVESTMENT---GRANBIS,1,111277.58,,,1,1
BLACK SEA EUROINVESTMENT---FALCONS---S.C NISARA IMPEX S.R.L,1,152329.41,,,1,1
BLACK SEA EUROINVESTMENT---EUROPEAN GROUP FOOD---LEGUME FRUCTE COM S.R.L.,1,33321.84,,,1,1
BLACK SEA EUROINVESTMENT---ELCOMER ACHIZITII---LAKTOTRIO 2001 PROD---SELGROS CASH&CARRY SRL---VRANLACT DISTRIBUTION,1,2190.09,,,1,1
BLACK SEA EUROINVESTMENT---DIACARN FOOD---SALTEMPO,1,119850.59,,,1,1
Dunapan Star---Legume Fructe Com S.R.L.---Olymel Flamingo Food S.R.L.,1,2035.7,,,1,1
DUNAPAN STAR---ONIX PANIFICATIE---PAN DAVID JCL---PRODPAN LACHITA,1,204879.04,,,1,1
DUNAPAN STAR---OVIPAN---PRODPAN LACHITA,1,448360.76,,,1,1
DUNAPAN STAR---RO IMPACT,1,252971.65,,,1,1
Dunapan Star---Vel Pitar,1,64382.02,,,1,1
BLACK SEA EUROINVESTMENT---DIACARN FOOD---MATRA S.R.L.,1,33648.28,,,1,1
Dunărea Prod,1,247973.18,,,1,1
Dunărea Prod S.R.L.,1,278930.72,,,1,1
BLACK SEA EUROINVESTMENT---DIACARN FOOD---LEGUME FRUCTE COM S.R.L.,1,88779.83,,,1,1
BLACK SEA EUROINVESTMENT---CRIS-TIM FAMILY HOLDING---MATRA S.R.L.,1,3181.72,,,1,1
BLACK SEA EUROINVESTMENT---CRIS-TIM COMPANIE DE FAMILIE---OLYMEL FLAMINGO FOOD S.R.L.,1,15493.89,,,1,1
DUNICEC COM---PARISIENNE A LA VYS S.R.L.,1,492050.81,,,1,1
DUSENI PAN CTA,1,8846.9,,,1,1
ACVILA---DOIMAN COM S.R.L.,1,996.35,,,1,1
BLACK SEA EUROINVESTMENT---CRIS-TIM COMPANIE DE FAMILIE---DELTALACT S.A.,1,18064.74,,,1,1
Dynamic Business Service---La Leul Com S.R.L.,1,46704.04,,,1,1
S.C. MOPAN SUCEAVA S.A.---SC DAVIO PAN GRUP IMPEX SRL,1,71352.23,,,1,1
ADCON---LECONFEX S.R.L.---NORDIC IMPEX S.R.L.,1,3226.34,,,1,1
DYNAMIC BUSINESS SERVICE---UTOPIA PROD COM---VEL PITAR,1,69008.43,,,1,1
DYNAMIC BUSINESS SERVICE---VEL PITAR,1,164256.89,,,1,1
BLACK SEA EUROINVESTMENT---COREX S.R.L.---DELTALACT S.A.,1,86607.74,,,1,1
S.C. MOPAN SUCEAVA S.A.---STEDYAN COM S.R.L.---STRUNGARIU & CO RIGAMS LM SNC,1,309.25,,,1,1
S.C. MOPAN SUCEAVA S.A.---TAC-TAC S.R.L.---VEL PITAR,1,177402.55,,,1,1
EASTERN FOOD BRIDGE S.R.L.---HARPEK---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---SIGISMUND COM,1,19873.06,,,1,1
EASTERN FOOD BRIDGE S.R.L.---HARPEK---MATRA S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---PROVISION RETAIL PROD SRL,1,59018.92,,,1,1
EASTERN FOOD BRIDGE S.R.L.---HARPEK---MATRA S.R.L.---PROVISION RETAIL PROD SRL---SC BLACK SEA EUROINVESTMENT SRL,1,35757.51,,,1,1
EASTERN FOOD BRIDGE S.R.L.---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,1,22935.13,,,1,1
EASTERN FOOD BRIDGE S.R.L.---PRESTIGIOSA PRODCOM S.R.L.,1,6266.1,,,1,1
ADCON---LECONFEX S.R.L.---NED COM,1,1158.18,,,1,1
BLACK SEA EUROINVESTMENT---COPANEX S.R.L.---VRANLACT DISTRIBUTION,1,15529.98,,,1,1
BLACK SEA EUROINVESTMENT---COPANEX S.R.L.---STEDYAN COM,1,6316.39,,,1,1
Eco-Ritmic S.R.L.,1,22040.5,,,1,1
ECO-RITMIC S.R.L.,1,1804.9,,,1,1
BLACK SEA EUROINVESTMENT---COPANEX S.R.L.---LEGUME FRUCTE COM S.R.L.,1,18613.25,,,1,1
BLACK SEA EUROINVESTMENT---COPANEX S.R.L.---Ian Intertop,1,19467.48,,,1,1
ELCOMER ACHIZITII---FILVAS SERVCOM,1,275694.39,,,1,1
Elcomer Achiziții---Filvas Servcom,1,261772,,,1,1
Varga Quattro S.R.L.,1,4297.38,,,1,1
ELCOMER ACHIZITII---FRAHER DISTRIBUTION---GRANBIS---MIRMAN COMPANY  SRL---NED COM---S. C. MCA COMERCIAL S.R.L---VANBET SRL,1,12796.1,,,1,1
ELCOMER ACHIZITII---FRAHER DISTRIBUTION---MIRMAN COMPANY  SRL---NED COM---S. C. MCA COMERCIAL S.R.L---S.C. GREENLEG DISTRIBUTION S.R.L.---VANBET SRL,1,16641.27,,,1,1
Elcomer Achiziții---Geocor Trade Imp-Exp---Granbis,1,18448.77,,,1,1
ELCOMER ACHIZITII---GEOCOR TRADE IMP-EXP---VANBET SRL,1,51203.9,,,1,1
Elcomer Achiziții---Granbis,1,33102.54,,,1,1
ADCON---KONSTA SPLENDID S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,1,1952.83,,,1,1
ELCOMER ACHIZITII---GRANBIS---STEDYAN COM S.R.L.,1,2063.4,,,1,1
ELCOMER ACHIZITII---ILVAS,1,129784.33,,,1,1
ELCOMER ACHIZITII---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,1,4534.3,,,1,1
ELCOMER ACHIZITII---NED COM,1,5608.05,,,1,1
ELCOMER ACHIZITII---NED COM---STEDYAN COM S.R.L.,1,4881.64,,,1,1
BLACK SEA EUROINVESTMENT---COMSORADI SRL---LEGUME FRUCTE COM S.R.L.,1,89912.02,,,1,1
S.C. Nicbac Prod Srl,1,14697.03,,,1,1
ADCON---KONSTA SPLENDID S.R.L.---LECONFEX S.R.L.,1,3443.9,,,1,1
BLACK SEA EUROINVESTMENT---COMSORADI SRL---DIACARN FOOD---MATRA S.R.L.---S. C. MCA COMERCIAL S.R.L---SALTEMPO,1,63297.78,,,1,1
S.C. NICBAC PROD S.R.L.,1,43369.23,,,1,1
ELDI BRUTARIA S.R.L.---HARMOPAN,1,28515,,,1,1
ELDI BRUTARIA S.R.L.---HARMOPAN---SC Panzootras SRL,1,278324.17,,,1,1
ELDI BRUTARIA S.R.L.---SC Panzootras SRL,1,49070.41,,,1,1
ADCON---KONSTA SPLENDID S.R.L.,1,1136.26,,,1,1
BLACK SEA EUROINVESTMENT---COMSORADI SRL---COPANEX S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---RADICSTAR,1,135508.28,,,1,1
BLACK SEA EUROINVESTMENT---COMSORADI SRL---COPANEX S.R.L.---DIRECT HOME SERVICES DISTRIBUTION---OLYMEL FLAMINGO FOOD S.R.L.,1,133205.24,,,1,1
ELIT,1,36153.75,,,1,1
BLACK SEA EUROINVESTMENT---COMPRODCOOP---COREX S.R.L.,1,13508.08,,,1,1
ADCON---JOLDOS PROIMPEX S.R.L.---PARHAN COM S.R.L.,1,763.39,,,1,1
BLACK SEA EUROINVESTMENT---COMPANY 94 PIRNAU SRL---COREX S.R.L.,1,15185.61,,,1,1
BLACK SEA EUROINVESTMENT---Carniprod---VASCAR S.A.,1,10950.46,,,1,1
BLACK SEA EUROINVESTMENT---CARLAND S.R.L.---S.C NISARA IMPEX S.R.L---SELGROS CASH&CARRY SRL,1,11852.86,,,1,1
BLACK SEA EUROINVESTMENT---CARLAND S.R.L.---S. C. MCA COMERCIAL S.R.L---S.C NISARA IMPEX S.R.L---STEDYAN COM,1,32405.25,,,1,1
ELLMAR COM---ELLY FOOD TRADIŢIONAL,1,33894.92,,,1,1
ELLMAR COM---ELLY FOOD TRADIŢIONAL---OLYMEL FLAMINGO FOOD S.R.L.,1,5134.55,,,1,1
ELLMAR COM---EUROPEAN GROUP FOOD---OLYMEL FLAMINGO FOOD S.R.L.,1,57238.65,,,1,1
ELLMAR COM---FILVAS SERVCOM,1,15569.44,,,1,1
Ellmar Com---Five Continents S.R.L.,1,19040.67,,,1,1
ELLMAR COM---GEOCOR TRADE IMP-EXP,1,40673.09,,,1,1
ELLMAR COM---GEOCOR TRADE IMP-EXP---ZIM Prestserv,1,3815.91,,,1,1
ELLMAR COM---LEGUMFRUCT DEPOO&DISTRIBUTION---STEDYAN COM S.R.L.,1,4350.98,,,1,1
BLACK SEA EUROINVESTMENT---CARLAND S.R.L.---S. C. MCA COMERCIAL S.R.L,1,62855.64,,,1,1
ELLMAR COM---NOVA FOOD SERVICES S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,1,68027.02,,,1,1
BLACK SEA EUROINVESTMENT---CARLAND S.R.L.,1,15379.46,,,1,1
ELLMAR COM---OLYMEL FLAMINGO FOOD S.R.L.---S.C. BIOTA COM S.R.L. S.R.L.,1,2920.12,,,1,1
ELLMAR COM---OLYMEL FLAMINGO FOOD S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,1,11214.26,,,1,1
S.C Nisara Impex S.R.L.,1,15838.16,,,1,1
ADCON---JOLDOS PROIMPEX S.R.L.---LECONFEX,1,1336.99,,,1,1
BLACK SEA EUROINVESTMENT---BOWEL PROCESSING---COMSORADI SRL---CRIS-TIM COMPANIE DE FAMILIE---DIACARN FOOD---MATRA S.R.L.---S. C. MCA COMERCIAL S.R.L---SALTEMPO,1,33575.13,,,1,1
ELLMAR COM---PROVIGO TRADE S.R.L.,1,304.79,,,1,1
ELLMAR COM---PROVIGO TRADE S.R.L.---S.C. AMA FRUCT CP S.R.L.,1,536.42,,,1,1
ELLMAR COM---PROVIGO TRADE S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,1,7040.19,,,1,1
Ellmar Com---Saltempo S.R.L.,1,183125.21,,,1,1
ELLMAR COM---S.C. AMA FRUCT CP S.R.L.,1,4636.8,,,1,1
ELLMAR COM---S.C. AMA FRUCT CP S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,1,14832.77,,,1,1
ELLMAR COM---S.C. apex expert S.R.L.,1,27744.25,,,1,1
ELLMAR COM---S.C. BIOTA COM S.R.L. S.R.L.---S.C. SALTEMPO S.R.L. S.R.L.,1,12386.19,,,1,1
BLACK SEA EUROINVESTMENT---BOWEL PROCESSING---COMSORADI SRL---COPANEX S.R.L.---RADICSTAR,1,44531.87,,,1,1
ELLMAR COM---SC BLACK SEA EUROINVESTMENT SRL---VANBET SRL,1,8007.72,,,1,1
ELLMAR COM---S.C. MOPAN SUCEAVA S.A.---SC BLACK SEA EUROINVESTMENT SRL,1,1266.38,,,1,1
ELLMAR COM---S.C. MOPAN SUCEAVA S.A.---STEDYAN COM S.R.L.,1,2156.02,,,1,1
BKT FOREST---RARVALSERV SRL,1,301472.32,,,1,1
ELLMAR COM---S.C NISARA IMPEX S.R.L---S.C. SALTEMPO S.R.L. S.R.L.,1,20942.96,,,1,1
ELLMAR COM---S.C NISARA IMPEX S.R.L---STEDYAN COM S.R.L.,1,5069.66,,,1,1
ELLMAR COM---S.C NISARA IMPEX S.R.L---VANBET SRL,1,5973.79,,,1,1
ELLMAR COM---S.C. SALTEMPO S.R.L. S.R.L.,1,7461.14,,,1,1
ELLMAR COM---S.C. SALTEMPO S.R.L. S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,1,2146.7,,,1,1
BISCOTTO SRL---FAGUL IMPEX---G T P D,1,790161.95,,,1,1
ELLMAR COM S.R.L.,1,50588.74,,,1,1
ADCON---IUSTART---SIGISMUND COM,1,5030.99,,,1,1
ELLMAR COM---STEDYAN COM S.R.L.---VANBET SRL,1,20826.98,,,1,1
Ellmar Com---Strungariu & Co Rigams L M,1,52314.4,,,1,1
Ellmar Com---Strungariu & Co Rigams LM SNC,1,38404.4,,,1,1
ADCON---IUSTART---OLYMEL FLAMINGO FOOD S.R.L.,1,8127.6,,,1,1
BISCOTTO SRL---DYNAMIC BUSINESS SERVICE,1,455451.47,,,1,1
ELLY FOOD TRADIŢIONAL---EUROGRUP BOGDAN---ZEC IMPEX,1,4980.43,,,1,1
ELLY FOOD TRADIŢIONAL---EUROPEAN GROUP FOOD---MATRA S.R.L.---PROVIGO TRADE S.R.L.,1,85819.16,,,1,1
ELLY FOOD TRADIŢIONAL---FILVAS SERVCOM---ILVAS---LEGUME FRUCTE COM S.R.L.,1,13293.45,,,1,1
ELLY FOOD TRADIŢIONAL---FILVAS SERVCOM---LEGUME FRUCTE COM S.R.L.,1,9097.95,,,1,1
ADCON---IUSTART---METRANS,1,13140.55,,,1,1
ELLY FOOD TRADIŢIONAL---JOLDOS PROIMPEX S.R.L.---LECONFEX,1,8897.68,,,1,1
S.C NISARA IMPEX S.R.L---SANLACTA SRL,1,52788.03,,,1,1
ELLY FOOD TRADIŢIONAL---LAKTOTRIO 2001 PROD,1,63938.52,,,1,1
S.C NISARA IMPEX S.R.L---S.C. AGRA'S S.A.,1,18830.84,,,1,1
S.C NISARA IMPEX S.R.L---S.C. AMA FRUCT CP S.R.L.,1,17253.64,,,1,1
ELLY FOOD TRADIŢIONAL---LECONFEX---SIMULTAN S.R.L.,1,55300.21,,,1,1
Biscotto S.R.L.---Click Top Management---Fagul Impex---G T P D---Isis-Pan---S.C. Patisgal S.R.L.---Velrom,1,1965962,,,1,1
ELLY FOOD TRADIŢIONAL---LECONFEX---ZEC IMPEX,1,1266.91,,,1,1
ELLY FOOD TRADIŢIONAL---OLYMEL FLAMINGO FOOD S.R.L.,1,13413.1,,,1,1
ELLY FOOD TRADIŢIONAL---PROVIGO TRADE S.R.L.,1,160230.77,,,1,1
ELLY FOOD TRADIŢIONAL---S.C NISARA IMPEX S.R.L---ZEC IMPEX,1,6910.1,,,1,1
ELLY FOOD TRADIŢIONAL---UNICARM,1,72029.69,,,1,1
S.C NISARA IMPEX S.R.L---S.C. BIOTA COM S.R.L. S.R.L.---S.C. SALTEMPO S.R.L. S.R.L.,1,9214.61,,,1,1
Enea Alina Impex S.R.L.,1,85058.1,,,1,1
Biotur Exim S.R.L---S.C. Metitex Agro Food S.R.L.,1,68332.88,,,1,1
Biotur Exim S.R.L.,1,4712.4,,,1,1
ERA GLOBAL S.R.L.---LEGUME FRUCTE COM S.R.L.---STEDYAN COM S.R.L.,1,79.03,,,1,1
ERA GLOBAL S.R.L.---MATRA S.R.L.---RADICSTAR S.R.L,1,9103.74,,,1,1
ERBACOM---PROVIGO TRADE S.R.L.,1,281059.76,,,1,1
Euricom Trade S.R.L,1,2673.44,,,1,1
BIOTA COM S.R.L.---VANBET SRL,1,4966.78,,,1,1
EURICOM TRADE S.R.L.,1,69338.2,,,1,1
BIOTA COM S.R.L.---STEDYAN COM S.R.L.,1,23365.23,,,1,1
S.C NISARA IMPEX S.R.L---S.C. CRIS-TIM FAMILY HOLDING S.R.L.,1,18737.45,,,1,1
EURICOM TRADE SRL---LECONFEX S.R.L.---S.C. PREXICO S.R.L. S.R.L.,1,157.74,,,1,1
EURICOM TRADE SRL---LEGUME FRUCTE COM S.R.L.,1,591.74,,,1,1
EURICOM TRADE SRL---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,1,23199.38,,,1,1
EURICOM TRADE SRL---LEGUME FRUCTE COM S.R.L.---STEDYAN COM S.R.L.,1,50.58,,,1,1
Euricom Trade S.R.L.---Marvalex Duo B S.R.L.---Vel Pitar,1,24959.43,,,1,1
Euricom Trade S.R.L.---Ned COM---S.C. Panipan S.R.L.,1,52878.08,,,1,1
EURICOM TRADE SRL---NORDIC IMPEX S.R.L.---TARPI S.R.L.,1,1457.12,,,1,1
Euricom Trade S.R.L.---Olymel Flamingo Food S.R.L.,1,35309.67,,,1,1
S.C NISARA IMPEX S.R.L---S.C. ELIT S.R.L. S.R.L.,1,38905.05,,,1,1
EURICOM TRADE SRL---OLYMEL FLAMINGO FOOD S.R.L.---S.C. PREXICO S.R.L. S.R.L.,1,1277.72,,,1,1
EURICOM TRADE SRL---OLYMEL FLAMINGO FOOD S.R.L.---SISTEMSIB MP,1,434.04,,,1,1
EURICOM TRADE SRL---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.,1,1589.32,,,1,1
EURICOM TRADE SRL---OLYMEL FLAMINGO FOOD S.R.L.---TARPI S.R.L.,1,1704.52,,,1,1
EURICOM TRADE SRL---PROVISION RETAIL PROD SRL,1,11978.17,,,1,1
S.C NISARA IMPEX S.R.L---S.C. FRUCT IMPORT EXPORT S.R.L.,1,25948.39,,,1,1
EURICOM TRADE SRL---S.C. PREXICO S.R.L. S.R.L.---TARPI S.R.L.,1,13095.51,,,1,1
EURO BRANDS TRADING---Harghita Retail,1,4608.35,,,1,1
EURO BRANDS TRADING---MEDIPLUS EXIM,1,1170.37,,,1,1
EUROCAS TEHNICA ALIMENTARA SRL,1,143645.29,,,1,1
BIOTA COM S.R.L.---S. C. MCA COMERCIAL S.R.L---STEDYAN COM,1,14456.15,,,1,1
BIOTA COM S.R.L.---SALTEMPO S.R.L.,1,7867.23,,,1,1
EUROGRUP BOGDAN---FERMA DENIS---LEGUME FRUCTE COM S.R.L.,1,28200.47,,,1,1
EUROGRUP BOGDAN---GEOCOR TRADE IMP-EXP S.R.L.,1,25781.04,,,1,1
BIOTA COM S.R.L.---PROVIGO TRADE S.R.L.---S. C. MCA COMERCIAL S.R.L,1,93629.99,,,1,1
EUROGRUP BOGDAN---JOLDOS PROIMPEX S.R.L.---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,1,48547.04,,,1,1
EUROGRUP BOGDAN---KONSTA SPLENDID S.R.L.,1,2163.24,,,1,1
EUROGRUP BOGDAN---KONSTA SPLENDID S.R.L.---NORDIC IMPEX S.R.L.,1,1667.78,,,1,1
EUROGRUP BOGDAN---KONSTA SPLENDID S.R.L.---S.C. AMA FRUCT CP S.R.L.,1,40.96,,,1,1
EUROGRUP BOGDAN---KONSTA SPLENDID S.R.L.---TARPI S.R.L.,1,19327.48,,,1,1
EUROGRUP BOGDAN---LARISCH EXIM---R & B COM S.R.L.,1,1814.94,,,1,1
EUROGRUP BOGDAN---LEGUME FRUCTE COM S.R.L.---M.A.CRISTINA S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,1,11161.36,,,1,1
EUROGRUP BOGDAN---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.,1,558.77,,,1,1
EUROGRUP BOGDAN---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.---PICOLACT PRODCOM SRL---STEDYAN COM,1,51457.02,,,1,1
BIOTA COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM,1,10783.3,,,1,1
BIOTA COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---S.C NISARA IMPEX S.R.L---VANBET SRL---ZIM Prestserv,1,2083.38,,,1,1
EUROGRUP BOGDAN---M.A.CRISTINA S.R.L.,1,5243.93,,,1,1
EUROGRUP BOGDAN---M.A.CRISTINA S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,1,4526.19,,,1,1
EUROGRUP BOGDAN---NICBAC PROD,1,114599.21,,,1,1
S.C NISARA IMPEX S.R.L---S.C. RAMA CLAU S.R.L.---STEDYAN COM S.R.L.,1,2881.59,,,1,1
EUROGRUP BOGDAN---NORDIC IMPEX S.R.L.---TARPI S.R.L.,1,10009.14,,,1,1
EUROGRUP BOGDAN---OLYMEL FLAMINGO FOOD S.R.L.,1,122.18,,,1,1
BIOTA COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,1,0.11,,,1,1
S.C NISARA IMPEX S.R.L---S.C. SALTEMPO S.R.L. S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,1,5391.65,,,1,1
EUROGRUP BOGDAN---PARHAN COM S.R.L.---ROMICS,1,12613.52,,,1,1
EUROGRUP BOGDAN---PARHAN COM S.R.L.---ROMICS---STEDYAN COM S.R.L.,1,467.73,,,1,1
EUROGRUP BOGDAN---PARHAN COM S.R.L.---S.C NISARA IMPEX S.R.L,1,100881.56,,,1,1
EUROGRUP BOGDAN---PARHAN COM S.R.L.---SIGISMUND COM,1,58325.39,,,1,1
BIOTA COM S.R.L.---METRO CASH & CARRY ROMANIA---VANBET SRL,1,3650.66,,,1,1
EUROGRUP BOGDAN---PARHAN COM S.R.L.---STEDYAN COM S.R.L.,1,371.16,,,1,1
BIOTA COM S.R.L.---GRANBIS S.R.L---MIRMAN COMPANY SRL---S.C. SALTEMPO S.R.L. S.R.L.---STEDYAN COM S.R.L.---TUDIRIN MARATON,1,2832.28,,,1,1
EUROGRUP BOGDAN---RAION S.R.L.,1,14824.75,,,1,1
BIOTA COM S.R.L.---GRANBIS S.R.L---M.A.CRISTINA S.R.L.---MIRMAN COMPANY SRL---S.C. VASCAR S.A. S.R.L.---STEDYAN COM S.R.L.---TUDIRIN MARATON,1,12306.91,,,1,1
EUROGRUP BOGDAN---S.C. AMA FRUCT CP S.R.L.,1,1085.04,,,1,1
BIOTA COM S.R.L.---GEOCOR TRADE IMP-EXP---STEDYAN COM S.R.L.,1,5120.39,,,1,1
EUROGRUP BOGDAN---S.C NISARA IMPEX S.R.L---SIGISMUND COM,1,9936.53,,,1,1
S.C Nisara Impex S.R.L---S.C. Selgros Cash&carry S.R.L.---Vranlact Distribution,1,12902.57,,,1,1
EUROGRUP BOGDAN---S.C. ROMICS S.R.L.---S.C. S M RECOSEMTRACT S.R.L.,1,11953.93,,,1,1
EUROGRUP BOGDAN---SIGISMUND COM,1,84557.01,,,1,1
EUROGRUP BOGDAN---SIGISMUND COM---Scandia Food,1,25751.83,,,1,1
EUROGRUP BOGDAN---S M RECOSEMTRACT---SIGISMUND COM,1,33875.85,,,1,1
EUROGRUP BOGDAN---TARPI S.R.L.,1,41278.91,,,1,1
EUROGRUP BOGDAN---ZEC IMPEX,1,3041.79,,,1,1
Euronic S.R.L.,1,147340.22,,,1,1
BIOTA COM S.R.L.---GEOCOR TRADE IMP-EXP---S.C NISARA IMPEX S.R.L---ZIM Prestserv,1,2511.21,,,1,1
BIOTA COM S.R.L.---FILVAS SERVCOM,1,3.35,,,1,1
BIOTA COM S.R.L.---DOIMAN COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.---VANBET SRL,1,4712.4,,,1,1
Europa Star Service S.R.L.,1,32024.07,,,1,1
