email,company,country,city,website,buyer_authority,contract_value
iulia.tomuta@scandia.ro,S.C. AGRA'S S.A.,ROU,Oarda,,SPITALUL CLINIC DE NEUROPSIHIATRIE CRAIOVA,604160
ivana.erceg@pivac.hr,MESNA INDUSTRIJA BRAĆA PIVAC d.o.o.,HRV,Vrgorac,,Sveučilište u Splitu, STUDENTSKI CENTAR SPLIT,850166.94
ivana.palatinus@sm-studiomarketing.com,SM Studio Marketing komunikacije d.o.o.,HR,zagreb,,Hrvatska akademska i istrazivacka mreza - CARNET,159750.0
ivana.pelivan@include.eu,Include d.o.o.,HR,Solin,,Hrvatska akademska i istrazivacka mreza - CARNET,5779183.7
ivan.barry@ibit.ie,iBiT,IRL,Clonlea ,,Louth and Meath Education and Training Board 1384,
ivan.pistelek@infoscope.hr,Infoscope d.o.o. za usluge,HR,Zagreb,,Hrvatska akademska i istrazivacka mreza - Carnet,1852203.0
jacek@zrdkarczew.pl,Piwowarczyk Zakład Rozbioru Drobiu Karczew,POL,Karczew,,SZKOŁA POLICJI W KATOWICACH,541000
jadrit@mail.inet.hr,JADRI-TRADE d.o.o.,HRV,Otočac,,Javna ustanova Nacionalni park Plitvička jezera,242190
james@3dtechnology.ie,3D Technology Ltd,IRL,Galway,,Longford and Westmeath Education and Training Board,
james.eady@cefltd.ie,City Electrical Factors_8249,IRL,Dundalk,https://www.cefltd.ie/,Louth and Meath Education and Training Board 1384,
james.slein@oneadvanced.com,Advanced,IE,Dublin 3,https://www.oneadvanced.com/,Louth and Meath Education and Training Board (LMETB),311826.1
janczar@onet.pl,PW Janczar Pokora SJ,POL,Gliwice,,Dom Pomocy Społecznej,268851
jane.lemarchand@francefraisvaldeseine.fr,France Val de Seine,FRA,Criq,,REGION NORMANDIE,
JANMAR@JANMAR.EU,GRUPA DROBIARSKA DAKPOL MAREK BEJM SPÓŁKA KOMANDYTOWA,POL,WĘGLOWICE,,Dom Pomocy Społecznej,48954
jatkyhradsky@seznam.cz,JATKY Hradský, s.r.o.,CZE,Strakonice - Strakonice I,,České vysoké učení technické v Praze,24000000
javna-nabava@makromikro.hr,Makromikro Grupa d.o.o.,HR,Velika Gorica,,Hrvatska akademska i istrazivacka mreza - CARNET,12195951.96
javna.nabava@sczg.hr,PIK VRBOVEC plus d.o.o.,HRV,VRBOVEC,,SVEUČILIŠTE U ZAGREBU-STUDENTSKI CENTAR U ZAGREBU,2587300.5
javna.nabava@senso.hr,SENSO PROFI d.o.o.,HRV,Velika Gorica,http://www.senso.hr/,HRVATSKA AKADEMSKA I ISTRAŽIVAČKA MREŽA CARNet,103536
javna.nabava@zagreb.hr,IGO-MAT d.o.o.,HRV,Bregana,,Grad Zagreb,2586700
javna.narocila@mesarstvo-oblak.si,MESARSTVO OBLAK, proizvodnja, trgovina in storitve, d.o.o.,SVN,Žiri,,UNIVERZITETNI KLINIČNI CENTER LJUBLJANA,783430.0000
jdoherty@capitalhb.co.uk,capital hair and beauty,IRL,DUBLIN,WWW.CAPITALHAIRANDBEAUTY.IE,Longford and Westmeath Education and Training Board,
jenny.cederlund@arlafoods.com,Arla Foods AB,SE,SOLNA,http://www.arla.se,Upphandling Sodertorn,99000000.0
jess@bensonsworkwear.com,Bensons Workwear Limited,IRL,Midleton,https://www.bensonsworkwear.com/,Longford and Westmeath Education and Training Board,
jesusgomez@imcarca.com,IMPORTADORA CÁRNICA CANARIA, S.A.,ESP,Santa Cruz de Tenerife,,Consejería Delegada de Hoteles Escuela de Canarias, S.A.,1154201.50
jimmy@gardenco.se,The garden company Sweden AB,SWE,GRÄDDÖ,,Serviceförvaltningen (SEF),
jim.perry@eeil.ie,EWL ELECTRIC LTD HEAD OFFICE,IRL,Dublin,www.ewl.ie,Longford and Westmeath Education and Training Board,
jj@gsck.ie,The Good Shepherd Centre,IRL,KILKENNY CITY,,Westmeath County Council,479232
jjsbf-marches@its.jnj.com,GROUPEMENT JOHNSON&JOHNSON SANTE BEAUTE FRANCE et ALLOGA FRANCE - lots 17-18,FRA,Issy Les Moulineaux,,CHU de Lille - ES du GHT LMFI,3193780.82
jjy0913@komsco.com,KOMSKO - Korea Minting, Security Printing & ID Card Operating Corporation,KOR,80-67 Gwahak-ro, Yuseong-gu, Daejeon,,Istituto Poligrafico e Zecca dello Stato S.p.A.,
j.leiva@camposleiva.es,CENTRAL LOGÍSTICA CAMPOS LEIVA S.L.,ESP,BAILÉN (JAÉN),,Gerencia de Servicios Sociales de la Junta de Castilla y León,1977476.34
jmlazarojm@gmail.com,JAVIER LAZARO MARTINEZ,ESP,VILLARES DE LA REINA,,Gerencia de Servicios Sociales de la Junta de Castilla y León,838188.83
JOACZ@sokolow.pl,Sokołów S.A.,POL,Sokołów Podlaski,,33 Baza Lotnictwa Transportowego,2669651.48
joakim.jansson@supermarket.ica.se,Jojas Livs AB,SWE,Hedemora,,Upphandlingscenter Falun Borlänge-regionen,
joellebriffaud@hotmail.fr,La Foraire,FR,Breuil-Barret,,Oniris,200000.0
joep@seafoodcentre.nl,Seafood Centre B.V.,NLD,'S-GRAVENHAGE,http://www.seafoodcentre.nl,Leids Universitair Medisch Centrum (LUMC),
johan.ahlin-wahlberg@swhorto.se,SW Horto AB,SWE,Hammenhög,,Upphandlingscenter Falun Borlänge-regionen,
johan@bjork-magnusson.se,Björk & Magnusson i Helsingborg AB,SWE,Helsingborg,,Helsingborgs stad,1
johan@dekeyzer-ossaer.be,Dekeyzer-Ossaer,BEL,Koekelare,http://www.dekeyzer-ossaer.be/,Motena,
johan@dko.be,DEKEYZER-OSSAER,BEL,Koekelare,,OCMW Dilbeek,270010.5
Johan@dko.be,Dekeyzer-Ossaer nv,BEL,Barnestraat 1, 8680 Koekelare,,Farys,
johanna.lundman@svenskcater.se,Svensk Cater AB,SWE,Västerås,,Luleå kommun,
johan.rydberg@swhorto.se,SW Horto AB,SWE,Hammenhög,,Eskilstuna kommun,1868620
johan.wester@supermarket.ica.se,Ica Supermarket Säter,SWE,Säter,,Upphandlingscenter Falun Borlänge-regionen,
john@electricalworld.com,Electrical World Limited,GBR,Enniskillen,https://www.electricalworld.com/,Louth and Meath Education and Training Board 1384,
johnk@owenbeegroup.ie,Owenbee Services Ltd,IRL,Dublin,,Westmeath County Council,2000000
john.mccann@ganlys.ie,Ganly's of Athlone,IRL,Athlone,,Longford and Westmeath Education and Training Board,
joldos.proimpex@gmail.com,JOLDOS PROIMPEX S.R.L.,ROU,Cluj-Napoca,https://www.joldos.proimpex.ro,SPITALUL JUDETEAN SATU MARE,8699049
jonas@allmans.se,Allmans Aktiebolag,SE,BORAS,http://www.allmans.se,Kungsbacka kommun,16000000.0
jonas.enstrom@skafferivarmland.se,Varmlands Skafferi AB,SE,Karlstad,,TORSBY KOMMUN,29900000.0
jorgen.nilsson@skanefro.se,Skånefrö AB,SWE,Tommarp,,Serviceförvaltningen (SEF),
josip.letica@rigeta.hr,RIGETA,HRV,Zagreb,,Sveučilište u Zagrebu Studentski centar u Varaždinu,273318.42
j.ozarowska@okrasa.com.pl,Konsorcjum Mięsne OKRASA Grupa Południe Sp. z o.o.,POL,Katowice,,Szkoła Policji w Katowicach,523000
jparletti@hotmail.com,Passion Beauty Supplies Ltd,IRL,Tallaght,,Longford and Westmeath Education and Training Board,
jpotter@westcd.ie,Westmeath Community Developments Limited,IRL,Mullingar,,Westmeath County Council,7499081
j.pou@intercot.es,INTERCOT, SA,ESP,Sant Feliu Sasserra,,Fábrica Nacional de Moneda y Timbre - Real Casa de la Moneda,
j.thomin@hotmail.fr,SARL KERGO,FRA,PLOUIDER,,REGION BRETAGNE
,11971617
juanjose.galindo@bayport.eu,BAYPORT GLOBAL SUPPLIES S.A.,ESP,PUERTO REAL,,Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P.,1093151.72
julio@carnicassantos.com,CARNICAS SANTOS LOBO S.L.,ESP,CARBAJOSA DE LA SAGRADA,,Gerencia de Servicios Sociales de la Junta de Castilla y León,1977476.34
jusimexkft@gmail.ccom,Jusim-ex Kft.,HU,Budapest,,Kiskunsagi Nemzeti Park Igazgatosag,129900000.0
j.wilczewska@bruno-tassi.pl,Bruno Tassi Sp. z o.o.,POL,Warszawa,,Areszt Śledczy w Gdańsku,995891
k64farmkft@gmail.com,K64 Farm Mezőgazdasági Termelő és Szolgáltató Kft.,HUN,Füzesabony,,Hortobágyi Természetvédelmi és Génmegőrző Nonprofit Korlátolt Felelősségű Társaság,289919500.00
kabanos01@op.pl,PAULADROB BACHOROWSKA & BACHOROWSKI Sp. komandytowa,POL,Świdwin,,Zakład Karny w Czarnem,1082655
kabele@efeza.cz,EFEZA s.r.o.,CZE,Moravany - Platěnice,,Fakultní nemocnice Hradec Králové,313150
kadir.sahin@frigomekanik.com,FRİGO MEKANİK AŞ,TUR,İSTANBUL,,Public Abattoir,220350
kadlecova@time-jatka.cz,TIME s. r. o.,CZE,Potěhy,https://time.sluzby.cz/,Zoologická zahrada hl. m. Prahy,6000000
kadry@john.com.pl,PPHU John- Paweł John,POL,Grotniki,,33 Baza Lotnictwa Transportowego,2669651.48
kaja@akelaks.ee,Osaühing AKELAKS,EST, Tallinn,,Saku Vallavalitsus,
kanika.lim@dacd.com,DEVELOPPEMENT ACTIVITES CHIMIQUES DISTRIBUTION,FRA,SAINT MARCEL LES VALENCE,,Ville d'Evian (74),477000
kanpol@kanpol.ee,aktsiaselts Kanpol,EST, Pärnu linn,,Sihtasutus Jõulumäe Tervisespordikeskus,
kardo@wikmani.ee,Wikmani LT OÜ,EST, Tallinn,,Sillamäe Linnavalitsus,197714.15
karin.andersen@holmenblomst.no,Holmen Blomst AS,NOR,1394,,Asker kommune,4000000
karine.glot@volfrance.fr,VOLFRANCE ,FRA,LA VICOMTE SUR RANCE,,Economat des Armées,
katarinanatasa.mercep@split.hr,PIK VRBOVEC plus d.o.o.,HRV,VRBOVEC,,Grad Split,
kathy.mclean@mallontechnology.com,Mallon Technology Limited,IRL,Dublin,www.mallontechnology.com,Meath County Council,183473
kaupmees@kaupmees.ee,Aktsiaselts Kaupmees & Ko,EST, Tallinn,,Sihtasutus Jõulumäe Tervisespordikeskus,750000.00
kbcnabava@kbsplit.hr,Perutnina Ptuj-Pipo d.o.o.,HRV,Čakovec,,KLINIČKI BOLNIČKI CENTAR SPLIT,115200
kc@kvibo.si,KVIBO, družba za razvoj, proizvodnjo in trženje, d.o.o.,SVN,Tržič,https://www.kvibo.si/,OSNOVNA ŠOLA GRM,
keine@angabe.de,keine Angabe,DEU,keine Angabe,,Verpflegungsamt der Bundeswehr,
keith@tpi.ie,The Printed Image,IRL,Dublin,,Louth and Meath Education and Training Board 1384,
ken@emscopiers.ie,EMS Copier Services,IE,Dublin,http://www.emscopiers.ie,Louth and Meath Education and Training Board,1000000.0
ken@schoolfoodcompany.ie,The School Food Company,IRL,Limerick,,Louth and Meath Education and Training Board 1384,1000000
ken@silkeborgslagteren.dk,Silkeborg Slagteren A/S,DNK,Silkeborg,,Region Midtjylland,54734652
keoghoffice@gmail.com,Keogh Eelectrical Engineering Ltd,IRL,Dublin 6,www.keoghelectrical.ie,Longford and Westmeath Education and Training Board,
k.gricman@bruno-tassi.pl,BRUNO TASSI Sp. z o.o.,POL,Warszawa,,31 Baza Lotnictwa Taktycznego,1543312.93
khurley@lettertec.com,Lettertec Ireland Llimited,IRL,Cork,,Louth and Meath Education and Training Board 1384,
king@king-ict.eu,KING ICT d.o.o.,HRV,Buzin (Grad Zagreb),https://king-ict.eu,HRVATSKA AKADEMSKA I ISTRAŽIVAČKA MREŽA CARNet,23192815.8
king@king-ict.hr,King ICT d.o.o.,HR,Zagreb,,Hrvatska akademska i istrazivacka mreza - Carnet,13597000.0
kirsi.juopperi@hkfoods.com,HKFoods Finland Oy,FIN,Turku,,Servica Oy,6000000
kiskunsagicoop@enternet.hu,KISKUNSAGI-COOP Kereskedelmi es Szolgaltato Zrt.,HU,Kunszentmiklos,,Keszenleti Rendorseg,70350000.0
kjell.pettersson@charkman.se,Aktiebolaget Kulls Chark,SWE,NORRKÖPING,,Västerviks kommun,20000000
k.kudron@konserwy.pl,EVRA DYSTRYBUCJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,POL,Dębica,,21 Wojskowy Oddział Gospodarczy,3291600
konkursai@officeday.lt,UAB Officeday,LTU,Vilnius,,Gynybos resursų agentūra prie Krašto apsaugos ministerijos,6664090.82
konkursai@samsonas.lt,UAB "Samsonas",LTU,Kaunas,,Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos,94640
konkursai@sanitex.eu,UAB Sanitex,LT,Kaunas,http://www.sanitex.eu,Viesoji istaiga Respublikine Panevezio ligonine,257880.63
konshurt@konshurt.com.pl,KONSHURT M. Kasprzyk Sp. k.,POL,Częstochowa,,Areszt Śledczy w Gdańsku,995891
kontakt@subun.pl,SUBUN Zakład Rozbioru i Przetwórstwa Mięsa J. Mioduszewska-Buczek, R. Surała Sp. Jawna,POL,Góra Kalwaria,,Centrum Szkolenia Policji w Legionowie,2317725
koordinacio@neoconsfeed.hu,NEOCONS Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság,HUN,Kiskunmajsa,,Nemzeti Ménesbirtok és Tangazdaság Zártkörűen Működő Részvénytársaság,131371000.00
koronczaiagnes@agrospec.hu,Pálhalmai Agrospeciál Mezőgazdasági Termelő, Értékesítő és Szolgáltató Kft.,HUN,Dunaújváros,,Büntetés-végrehajtás Országos Parancsnoksága,151210000.00
korosir@ikragrar.hu,IKR AGROPLANT Korlátolt Felelősségű Társaság,HUN,Szirmabesenyő,,Bábolna Nemzeti Ménesbirtok,37645000.00
koroskemesnine@kkgz.si,KOROŠKE MESNINE, proizvodnja mesnih izdelkov in trgovina, d.o.o.,SVN,Slovenj Gradec,,OSNOVNA ŠOLA ČRNA NA KOROŠKEM,
kothe.sa@wanadoo.fr,ETS ANDRE KOTHE ET FILS,FRA,Montauban,,MAIRIE DE NEGREPELISSE,
kozbeszerzes@te-di.hu,"TE-DI TRADE" Kereskedelmi Korlátolt Felelősségű Társaság,HUN,Szeged,,Bács-Kiskun Vármegyei Oktatókórház,150025900.00
kozbesz.felgyoivagohid@gmail.com,Gulyás János és Társa Kft,HUN,Felgyő,,Bács-Kiskun Vármegyei Oktatókórház,150025900.00
k.richert@bruno-tassi.pl,Bruno Tassi Sp. z o. o.,POL,Warszawa,http://www.bruno-tassi.pl,WARMIŃSKO-MAZURSKI ODDZIAŁ STRAŻY GRANICZNEJ im. gen. bryg. Stefana Pasławskiego,649967.5
kristek@madegroup.cz,MADE GROUP, a.s.,CZE,Praha - Čakovice,,Fakultní nemocnice u sv. Anny v Brně,104460000
kristina.jeranko@hrib.si,HRIB Kmetijsko proizvodno podjetje, d.o.o., Dobje pri Planini,SVN,Dobje pri Planini,,OSNOVNA ŠOLA ČRNA NA KOROŠKEM,
krw@transimpex.de,Transimpex Warenhandelsgesellschaft mbH,DEU,Lambsheim,,Bundesanstalt für Landwirtschaft und Ernährung (BLE),
ksiegowosc@hand-mies.pl,HAND-MIĘS POLOWCZYK SP. Z O.O.,POL,Nowe Miasto nad Wartą,,33 Baza Lotnictwa Transportowego,3169310.69
ksiegowosc@pib.pl, PIB Sp. z o.o.,POL,Gołymin - Ośrodek,https://pib.pl,ODDZIAŁ ZABEZPIECZENIA ŻANDARMERII WOJSKOWEJ,570402.3
ksiegowosc@zmnowyzmigrod.pl,Zakłady Mięsne „Nowy Żmigród” Sp. z o.o.,POL,Nowy Żmigród,https://zmnowyzmigrod.pl,Uniwersytecki Szpital Kliniczny im. Fryderyka Chopina w Rzeszowie,1482367.9
ksk@dlf.dk,DLF Seeds A/S,DNK,Roskilde,,Aarhus Kommune,1037400
ktmasosro@gmail.com,K & T maso spol. s r.o.,SK,Tesedikovo,,Domov dochodcov Sala,87252.0
kucasiraiprsuta@gmail.com,Pršutana Perajica,HRV,SPLIT,,Sveučilište u Splitu, STUDENTSKI CENTAR SPLIT,223649.50
kudecivan@hotmail.com,KUDEC,HR,Hodosan,,Srednja skola "Arboretum Opeka",318333.85
laboral@pcdominguez.com,Productos Cárnicos Domínguez, S.L.,ESP,Vimianzo,https://pcdominguez.com/,Servizo Galego de Saúde - Área Sanitaria da Coruña e Cee,522560
ladislav.krajca@elkoplast.cz,Elkoplast Slusovice, s.r.o.,CZ,Slusovice,,Statni ustav pro kontrolu leciv,7200000.0
lae@provencale.lu,La Provençale S.à r.l.,LUX,Leudelange,,MAEE-Direction de la Défense,
lamron@lamron.sk,LAMRON s.r.o.,SVK,Martin,,Stredná priemyselná škola, Obrancov mieru 343/1, Dubnica nad Váhom,
lapatisseriedudanube@gmail.com,LA PATISSERIE DU DANUBE S.R.L.,ROU,Galati,https://www.facebook.com/patiseriegalati/,UNIVERSITATEA DUNAREA DE JOS,298921.82
larischexim@gmail.com,LARISCH EXIM,RO,Camin,,SPITALUL JUDETEAN SATU MARE,12862764.0
laurence@mlquinn.co.uk,M.L. Quinn Construction Limited,GBR,Newry, Co Down,,Louth and Meath Education and Training Board 1384,
laurence.moreau@beziau-volailles.fr,BEZIAU,FRA,LA JAUDONNIERE,https://www.beziau-volailles.fr,Ville de La Roche sur Yon (85),
laurence.vinvent@karo.com,Groupement KARO HEALTHCARE AB et ALLOGA FRANCE - lot 7,FRA,Stockholm,,CHU de Lille - ES du GHT LMFI,3193780.82
Laurent.sejourne@maisonbarrault.com,BARRAULT HORTICULTURE,FRA,LA POSSONNIERE,,Ville d'Evian (74),477000
lazarov@nitrofert.bg,НИТРОФЕРТ ЕООД,BGR,гр. София,,ТРАКИЙСКИ УНИВЕРСИТЕТ,317000.00
lbo@bccr.dk,BC Catering Roskilde A/S,DK,Roskilde,,Nstved Kommune,8722565.0
l.breton@ekwali.fr,ABATTOIR DE VOLAILLES - A V M,FRA,Ouangani,,Economat des Armées,
leconfexpaulis@yahoo.com,LECONFEX,RO,Deva,WWW.LECONFEX.RO,SPITALUL JUDETEAN SATU MARE,12862764.0
leire@carnicasibarra.com,CARNICAS IBARRA, S.L.,ESP,Ibarra,,OSAKIDETZA - Servicio Vasco de Salud - Hospital Universitario Donostia,912665.98
leonard.danila@fleischparty.ro,Fleischparty SRL,ROU,Moara Grecilor,,Directia Generala de Asistenta Sociala si Protectia Copilului Iasi,3106959.53
liacrisvaslui@yahoo.com,LIACRIS S.R.L.,ROU,Vaslui,,SPITALUL JUDETEAN DE URGENTA "SFANTA CHIRIACHI" VASLUI,
liam@brightpromotions.ie,Bright Promotions Ltd,IRL,Dundalk,www.brightpromotions.ie,Louth and Meath Education and Training Board 1384,
liam.cashe@listermachinetools.com,Lister Machine Tools Ltd,IE,Bluebell Dublin 12,http://www.listermachinetools.com,Louth and Meath Education & Training Board,500000.0
liam@strahan.ie,Strahan Timber,IRL,Dublin,,Longford and Westmeath Education and Training Board,
licitacionesacacio@gmail.com,ACACIO SL,ESP,cijuela,,Jefatura de Intendencia de Asuntos Económicos Sur,2557462.64
licitaciones@facsa.com,SOCIEDAD DE FOMENTO AGRÍCOLA CASTELLONENSE, S.A.,ESP,Castellón,,Junta de Gobierno del Ayuntamiento de Navalcarnero,72361.01
licitaciones@lacera.es,LACERA SERVICIOS Y MANTENIMIENTO, S.A.,ESP,OVIEDO,,Junta de Gobierno del Ayuntamiento de Navalcarnero,3328155.58
licitaciones.perezaliaga@gmail.com,Cash Virgen de la Cabeza SL,ESP,ANDUJAR,,Consejería de Salud y Servicios Sociales,112904.1
licitatii@adpharma.com,MEDIPLUS EXIM,RO,Mogosoaia,http://www.mediplus.ro/ro,Spitalul Judetean Satu Mare,21736.0
licitatii@cristim.ro,S.C. CRIS-TIM FAMILY HOLDING S.R.L.,ROU,Filipestii de Padure,https://cristim.ro/,MINISTERUL APARARII - U.M.  02192,5450708.8
licitatii@diana.com.ro,DIANA,ROU,Bujoreni,,SCOALA DE AGENTI DE POLITIE SEPTIMIU MURESAN CLUJ-NAPOCA,453170.5
licitatii@euricomtrade.ro,EURICOM TRADE SRL,RO,Orlesti,www.euricomtrade.ro,Spitalul Clinic de Pneumoftiziologie Victor Babes Craiova,2771950.0
licitatii@interconecter.ro,S.C. INTER CONECTER  S.R.L. S.R.L.,RO,Timisoara,www.interconecter.ro,Ministerul Apararii - Unitatea Militara nr. 02558 Timisoara,760406.28
licitatii@juzet.ro,JUZET ENTERPRISES S.R.L.,ROU,Constanta,http://www.e-licitatie.ro,PENITENCIARUL GALATI,105855
licitatii@olymel.ro,OLYMEL FLAMINGO FOOD S.R.L.,ROU,Bucuresti,https://www.domeniu.ro,Scoala de Agenti de Politie '' VASILE LASCAR'' Campina,15824514.43
licitatii@saltempo.ro,S.C. SALTEMPO S.R.L. S.R.L.,ROU,Galati,https://www.saltempo.ro,UNIVERSITATEA DUNAREA DE JOS,5414984.2
licitatiispicul@dorolact.ro,SPICUL 2,ROU,Dorohoi,,Universitatea "Alexandru Ioan Cuza" Iasi,18928
licitatiispitale.dci@farmexpert.ro,ALLIANCE HEALTHCARE ROMANIA,RO,Bucuresti,www.farmexpert.ro,Spitalul Judetean Satu Mare,21736.0
licitazioni@marr.it,MARR SPA,ITA,Rimini,https://www.marr.it/,Agenzia per i contratti pubblici – ACP - Stazione unica appaltante Servizi e forniture,6612089.73
lihavyrst@lihavyrst.ee,osaühing NÕO LIHATÖÖSTUS,EST, Nõo vald,,Jõgeva Vallavalitsus,1820350.93
lionel.denecker@orange.fr,DENECKER LIONEL,FRA,59630 LOOBERGHE,,COMMUNE DE GRAVELINES,322600
lionor@sendao.fr,STE LIONOR SA,FRA,STEENBECQUE,,Lycée Berthelot (62),3354492
lisa.hane@nara.ica.se,ICA Gagnefshallen,SWE,Gagnef,,Upphandlingscenter Falun Borlänge-regionen,
lisa@medguard.ie,Medguard Healthcare,IRL,Ashbourne,,Louth and Meath Education and Training Board 1384,
lmg@celsur.es,COTTON SOUTH SL CELSUR,ESP,CTRA. BENALUA A FONELAS,,Istituto Poligrafico e Zecca dello Stato S.p.A.,
locapal@legalmail.it,LOCAPAL SRL,ITA,Campagna Lupia (VE),www.locapal.it,Consorzio di Bonifica di Piacenza,2685360.05
lombfalvi.norbert@gmail.com,Lombfalvi es Tarsa Mg. Szolg. Kft.,HU,Keleshalom,,Kiskunsagi Nemzeti Park Igazgatosag,129900000.0
lorient@arteliagroup.com,ARTELIA  SAS,FRA,PLOEMEUR,,Concarneau Cornouaille Agglomération,1454000
lorraine.brophy@atkinsglobal.com,Atkins_10323,IRL,Swords,https://www.atkinsrealis.ie/,Meath County Council,
lorraine@kbr.ie,KBR Foodservice Equipment Ltd,IRL,Rathnew,www.kbr.ie,Longford and Westmeath Education and Training Board,
lorraine@kws.ie,KWS,IRL,Kilkenny,,Longford and Westmeath Education and Training Board,
louise.leger@teamouestdistralis.fr,TEAM OUEST,FRA,NOYAL SUR VILAINE,,REGION BRETAGNE
,11971617
lovebirds@cytanet.com.cy,LOVE BIRDS PET SHOP LTD,CYP,Λάρνακα,https://www.eprocurement.gov.cy/epps,Δήμος Λεμεσού(μέχρι 30/6/2024),207193
lovro.reljanovic@recom.hr,Recom d.o.o.,HR,Zagreb,,Hrvatska akademska i istrazivacka mreza - Carnet,2349754.0
lpb@lepaysanbio.fr,LE COMPTOIR DES VIANDES BIO,FRA,MAULEVRIER,,Métropole Nice Côte d'Azur (06),8000000
lufag@lufag.es,LUFAG S.L.,ESP,Valdelafuente,,Gerencia de Atención Especializada de León,423542.8
luisdelafuentesl@hotmail.com,CARNICERIA LUIS DE LA FUENTE, SL,ESP,LA BAÑEZA,,Jefatura de la Sección Económico-Administrativa 45 - Aeródromo Militar de León,81818.18
luispozo@lufag.es,LUFAG S.L.,ESP,Valdelafuente,,Gerencia de Atención Especializada de León,544974.5
luzgregorio@carnicascatala.com,Carnicas Catala, S.L.,ESP,Alcoy,,Presidencia de la Diputación Provincial de Alicante,102403
maag@maag.ee,AS Maag Grupp,EST, Tartu linn,,Sihtasutus Jõulumäe Tervisespordikeskus,750000.00
maccomponentsathlone@gmail.com,MAC Components,IRL,Athlone,,Longford and Westmeath Education and Training Board,
macesanu.roxana24@gmail.com,PEDRA MEAT EXPRES SRL,ROU,Pitesti,,Comitetul Olimpic si Sportiv Roman,2608826.11
madalina_dumitru90@yahoo.com,ELCOMER ACHIZITII,ROU,Nicolesti,https://www.elcomerachizitii.ro,Directia Generala de Asistenta Sociala si Protectia Copilului Galati,3045061.25
madis-miljand@hotmail.com,Kalme Kartul OÜ,EST, Põltsamaa vald,,Põltsamaa Haldus,212817.50
magdalena.harrysson@martinservera.se,Martin & Servera Restauranghandel AB,SE,JOHANNESHOV,,Upphandling Sodertorn,99000000.0
magdalena@krawczyk-otwock.pl,,,Piekarnia ,,Staropolska" Ryszard Krawczyk ",POL,Otwock,,AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO,1731460.15
magnus@charkett.se,Charkett Aktiebolag,SE,Karlskrona,,Region Kalmar Lan,10000000.0
magnus@keges.se,Keges Grosshandel AB,SWE,VISBY,,Region Gotland,18000000
maguy.sa@wanadoo.fr,ETS HORTICOLES MAGUY,FRA,CHANIERS,,Ville d'Evian (74),477000
mahdalova@alimpex.cz,ALIMPEX FOOD a.s.,CZE,Praha - Kyje,,Fakultní nemocnice u sv. Anny v Brně,104460000
mail@amagerrullegraes.dk,Amager rullegræs A/S,DNK,Kastrup,,Naturstyrelsen,7028000
mail@cooneyatchitects.com,Cooney Architects Ltd and Keys and Monaghan Architects Ltd Joint Venture,IE,Dublin 8,,Westmeath County Council,640079.0
mailpec@pec.ecomarket.eu,ECOMARKET S.R.L.,ITA,OPERA,,MILANO RISTORAZIONE S.P.A.,405720
Mail.servier.dah@servier.com,LABORATOIRES SERVIER - lots 14-19,FRA,Suresnes Cedex,,CHU de Lille - ES du GHT LMFI,3193780.82
maire.niit@otepaalt.ee,OÜ OTEPÄÄ LIHATÖÖSTUS EDGAR,EST, Otepää vald,,Jõgeva Vallavalitsus,1820350.93
majstermasiar@gmail.com,Majster mäsiar, s.r.o.,SVK,Hlohovec,,Ústav na výkon trestu odňatia slobody,
management@ellyfood.ro,ELLY FOOD TRADITIONAL,RO,Flamanzi,www.forfuture.ro,SPITALUL JUDETEAN SATU MARE,12862764.0
maraflorica@yahoo.com,Mara Prod Com S.R.L.,RO,Alexandria,,Spitalul Judetean de Urgenta Alexandria,0
marchehopital@panpharma.fr,PANPHARMA lot 88,FRA,Luitre Dompierre,,CHU de Lille - ES du GHT LMFI,3193780.82
marchepublic@bioapro.com,BIO A PRO,FRA,Brignais,,GRANDLYON Métropole,380000
marchepublic@feralco.com,FERALCO ENVIRONNEMENT,FRA,LA GARENNES COLOMBES,,CONCARNEAU CORNOUAILLE AGGLOMERATION,4356666.68
marchepublic@naturdis.com,NATURDIS,FRA,Grasse,,Ville de Cagnes sur Mer (06),2640000
marches.achillebertrand@krill.fr,Achille Bertrand SAS,FRA,LES HERBIERS CEDEX,,Angers Loire Restauration,
marchescbs@cbs-distribution.fr,ETABLISSEMENTS CBS,FRA,Villeneuve Sur Lot,,EPD Clairvivre,136869.64
marche@sda-volailles.fr,societe de distribution avicole,FR,Ancenis,,lycee Chevrollier,405635.0
marches.hopitaux@movianto.com,CENTRE SPECIALITES PHARMACEUTIQUES pour le compte de PIRAMAL - lot 83,FRA,Cournon Cedex,,CHU de Lille - ES du GHT LMFI,3193780.82
marches.hospitaliers@pierre-fabre.com,PIERRE FABRE MEDICAMENT - lot 42,FRA,Castres,,CHU de Lille - ES du GHT LMFI,3193780.82
marches.hospitaux@movianto.com,SHIONOGI SAS - lot 67,FRA,Puteaux,,CHU de Lille - ES du GHT LMFI,3193780.82
