producer_name,products,county,odm,address_punct_lucru,address_sediu,phone,email,product_urls,scraped_at
MARTON DOMOKOS ÎNTREPRINDERE FAMILIALĂ,CARTOFI | GRÂU,Harghita,ODM Odorheiu Secuiesc,"Terenuri agricole aparținătoare comunelor Ciceu, Mihăileni și municipiului Miercurea Ciuc, Județul Harghita","Sat Văcărești, Comuna Mihăileni, nr. 257, Județul Harghita",0742.627.143,martondomokos81@gmail.com,https://produsmontan.ro/produse_montane/cartofi-marton-domokos-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/grau-marton-domokos-intreprindere-familiala/,2026-03-11T10:37:02.654749
MARTON JOZSEF LASZLO PERSOANĂ FIZICĂ AUTORIZATĂ,MIERE,Covasna,ODM Lisa,"Sat Apața, Nr. 40, Comuna Apața,  Județul Brașov","Sat Apața, Nr. 375, Comuna Apața,  Județul Brașov",0751 062 431,,https://produsmontan.ro/produse_montane/miere-marton-jozsef-laszlo-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
MATEI I. M. IOAN PERSOANĂ FIZICĂ AUTORIZATĂ,LAPTE DE VACĂ | TELEMEA DE VACĂ,Alba,ODM Săsciori,"Sat Purcăreți, Nr. 48, Comuna Pianu, Județul Alba","Sat Purcăreți, Nr. 48, Comuna Pianu, Județul Alba",,798emamatei77@gmail.com,https://produsmontan.ro/produse_montane/lapte-de-vaca-matei-i-m-ioan-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/telemea-de-vaca-matei-i-m-ioan-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
"MATEI MARIA ""AGRO"" PERSOANĂ FIZICĂ AUTORIZATĂ",LAPTE CRUD DE VACĂ | SMÂNTÂNĂ | TELEMEA DE VACĂ,Alba,ODM Săsciori,"Sat Purcăreți, Nr. 46, Comuna Pianu, Județul Alba","Sat Purcăreți, Nr. 46, Comuna Pianu, Județul Alba",,622giurgiualina1@gmail.com,https://produsmontan.ro/produse_montane/lapte-crud-de-vaca-matei-maria-agro-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/smantana-matei-maria-agro-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/telemea-de-vaca-matei-maria-agro-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
MATIȘ OLIMPIU PERSOANĂ FIZICĂ AUTORIZATĂ,LAPTE DE VACĂ,Cluj,ODM Mărișel,"Sat Risca, Nr. 93, Comuna Risca, Județul Cluj","Sat Risca, Nr. 93, Comuna Risca, Județul Cluj",0743 974 939,,https://produsmontan.ro/produse_montane/lapte-de-vaca-matis-olimpiu-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
MATYAS-IANOS SZABOLCS ÎNTREPRINDERE INDIVIDUALĂ,CARTOFI,Harghita,ODM Odorheiu Secuiesc,"Terenuri aparținând Comunelor Sânmartin și Sânsimion, Județul Harghita","Sat Ciucani, Nr. 36, Comuna Sânmartin, Județul Harghita",0747 181 959,959mogyorosforest@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-matyas-ianos-szabolcs-intreprindere-individuala/,2026-03-11T10:37:02.654749
MESAROȘ PP VASILE ÎNTREPRINDERE FAMILIALĂ,COACĂZE ROȘII | MURE | AFINE | CIREȘE,MARAMUREȘ,ODM Sighetu Marmației,"Sat Sat-Șugatag, Comuna Ocna Șugatag, Județul Maramureș","Sat Sat-Șugatag, Nr. 134, Comuna Ocna Șugatag, Județul Maramureș",0752 942 151,vasile.mesaros34@gmail.com,https://produsmontan.ro/produse_montane/coacaze-rosii-mesaros-pp-vasile-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/mure-mesaros-pp-vasile-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/afine-mesaros-pp-vasile-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/cirese-mesaros-pp-vasile-intreprindere-familiala/,2026-03-11T10:37:02.654749
MEZDREA CORNELUȚA-MARIA,LAPTE CRUD DE VACĂ,Suceava,ODM Poiana Stampei,"Sat Poiana Stampei, Comuna Poiana Stampei, Județul Suceava","Sat Căsoi, Nr. 5A, Comuna Poiana Stampei, Județul Suceava",0746 176 666,666cpentelescu@gmail.com,https://produsmontan.ro/produse_montane/lapte-crud-de-vaca-mezdrea-corneluta-maria/,2026-03-11T10:37:02.654749
MICLEANU ANA ÎNTREPRINDERE FAMILIALĂ,MIERE POLIFLORĂ | MIERE DE MANĂ | MIERE DE SALCÂM | MIERE DE TEI | POLEN,SATU MARE,ODM Baia Mare,"Sat Prilog Vii, Comuna Orașu Nou, Județul Satu Mare","Sat Prilog Vii, Comuna Orașu Nou, Nr. 116, Județul Satu Mare",0731 201 031,anamicleanu@yahoo.it,https://produsmontan.ro/produse_montane/miere-poliflora-micleanu-ana-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/miere-de-mana-micleanu-ana-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/miere-de-salcam-micleanu-ana-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/miere-de-tei-micleanu-ana-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/polen-micleanu-ana-intreprindere-familiala/,2026-03-11T10:37:02.654749
MIHAI A. ADRIAN I.I.,CEAPĂ | CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare municipiului Târgu Secuiesc, Covasna","Sat Lunga, nr. 202, municipiul Târgu Secuiesc, județul Covasna",0753 513 394,trombermisi@gmail.com,https://produsmontan.ro/produse_montane/ceapa-mihai-a-adrian-i-i/ | https://produsmontan.ro/produse_montane/cartofi-mihai-a-adrian-i-i/,2026-03-11T10:37:02.654749
MIHOC DANIEL IONUȚ PERSOANĂ FIZICĂ AUTORIZATĂ,PRUNE,SATU MARE,ODM Baia Mare,"Sat Certeze, Comuna Certeze, Județul Satu Mare","Sat Certeze, Str. Scânteia, Nr. 18, Comuna Certeze, Județul Satu Mare",0745 802 715,715d_mihoc@yahoo.com,https://produsmontan.ro/produse_montane/prune-mihoc-daniel-ionut-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
MIHOLCEA PAVEL,MIERE DE MANĂ | MIERE POLIFLORĂ,Sibiu,ODM Poplaca,"Oraș Cisnădie, Județul Sibiu","Sat Alămor, Comuna Loamneș, Nr. 473, Județul Sibiu",0751 199 404,maripavel.miholcea@yahoo.com,https://produsmontan.ro/produse_montane/miere-de-mana-miholcea-pavel/ | https://produsmontan.ro/produse_montane/miere-poliflora-miholcea-pavel/,2026-03-11T10:37:02.654749
MIHÁLY DEZSŐ,LAPTE DE VACĂ,Covasna,ODM Bodoc,"Sat Malnaș-Băi, Comuna Malnaș, Nr. 38, Județul Covasna","Sat Malnaș-Băi, Comuna Malnaș, Nr. 38, Județul Covasna",0745 847 658,,https://produsmontan.ro/produse_montane/lapte-de-vaca-mihaly-dezso/,2026-03-11T10:37:02.654749
MIKLOSI ATTILA,CARTOFI,Harghita,ODM Odorheiu Secuiesc,"Ternuri agricole aparținătoare comunelor Cozmeni, Sînmartin, Sansimion, Județul Harghita","Sat Sânmartin, Nr. 390B, Comuna Sânmartin, Județul Harghita",0742 027 793,793mogyrosforest@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-miklosi-attila/,2026-03-11T10:37:02.654749
MIKLOSI ZSUZSÁNNA,CARTOFI,Harghita,ODM Odorheiu Secuiesc,"Terenuri agricole aparținând  comunei Sânsimion, județul Harghita","Sat Sânmartin, Nr. 390B, Comuna Sânmartin, Județul Harghita",0748 217 407,407mogyorosforest@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-miklosi-zsuzsanna/,2026-03-11T10:37:02.654749
MILU ION,PERE | PĂSTÂRNAC | USTUROI | MIEZ DE NUCĂ | PRUNE | CARTOFI | MERE | OUĂ DE GĂINĂ | PORUMB | CAȘCAVAL DIN LAPTE DE VACĂ | CAȘ DIN LAPTE DE VACĂ | TELEMEA DIN LAPTE DE VACĂ | LAPTE COVĂSIT DIN LAPTE DE VACĂ | URDĂ DIN LAPTE DE VACĂ | BRÂNZĂ TARE DIN LAPTE DE VACĂ | LAPTE DE VACĂ | UNT DIN DIN LAPTE DE VACĂ | SMÂNTÂNĂ DIN LAPTE DE VACĂ | BRÂNZĂ DULCE DIN LAPTE DE VACĂ,Caraș Severin,ODM Băile Herculane,"Sat Camena, Comuna Cornereva, Județul Caraș-Severin","Sat Camena , Nr. 541, Comuna Cornereva, Județul Caraș-Severin",,ionmilu73@yahoo.com,https://produsmontan.ro/produse_montane/pere-milu-ion/ | https://produsmontan.ro/produse_montane/pastarnac-milu-ion/ | https://produsmontan.ro/produse_montane/usturoi-milu-ion/ | https://produsmontan.ro/produse_montane/miez-de-nuca-milu-ion/ | https://produsmontan.ro/produse_montane/prune-milu-ion/,2026-03-11T10:37:02.654749
MIORIȚA MILK S.R.L.,TELEMEA DE SIBIU | CAȘ DIN LAPTE DE OAIE | URDĂ DIN LAPTE DE OAIE,Sibiu,ODM Poplaca,"Sat Vurpăr, Str. Păstori, Nr. 663, Comuna Vurpăr, Județul Sibiu","Sat Vurpăr, Nr. 663, Comuna Vurpăr, Județul Sibiu",,alecsandra_dragomir@yahoo.com,https://produsmontan.ro/produse_montane/telemea-de-sibiu-miorita-milk-s-r-l/ | https://produsmontan.ro/produse_montane/cas-din-lapte-de-oaie-miorita-milk-s-r-l/ | https://produsmontan.ro/produse_montane/urda-din-lapte-de-oaie-miorita-milk-s-r-l/,2026-03-11T10:37:02.654749
MITOI MARIAN-VALENTIN,CĂPȘUNI | MURE | ZMEURĂ,Vâlcea,ODM Băile Olănești,"Sat Rugetu, nr. 1163, comuna Slătioara, județul Vâlcea","Sat Rugetu, comuna Slătioara, județul Vâlcea",0737 903 457,,https://produsmontan.ro/produse_montane/capsuni-mitoi-marian-valentin/ | https://produsmontan.ro/produse_montane/mure-mitoi-marian-valentin/ | https://produsmontan.ro/produse_montane/zmeura-mitoi-marian-valentin/,2026-03-11T10:37:02.654749
MOCAN SIMONA LOREDANA PERSOANĂ FIZICĂ AUTORIZATĂ,LAPTE DE VACĂ,Cluj,ODM Mărișel,"Sat Vînători, Comuna Ciucea, Nr. 31/A, Județul Cluj","Sat Vînători, Comuna Ciucea, Nr. 31/A, Județul Cluj",0746.437.403,,https://produsmontan.ro/produse_montane/lapte-de-vaca-mocan-simona-loredana-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
MONE FLORINA LOREDANA ÎNTREPRINDERE INDIVIDUALĂ,PRUNE | ARONIA | MERE,Bihor,ODM Borod,"strada Libertății, nr. 15, localitatea Vașcău, județul Bihor","strada Libertății, nr. 15, localitatea Vașcău, județul Bihor",,ikym78@yahoo.com,https://produsmontan.ro/produse_montane/prune-mone-florina-loredana-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/aronia-mone-florina-loredana-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/mere-mone-florina-loredana-intreprindere-individuala/,2026-03-11T10:37:02.654749
MOȘIA BOGDAN S.R.L.,VINETE | CEAPĂ | ARDEI GRAS | ZACUSCĂ DE LEGUME | FASOLE | TOMATE | CONSERVĂ DE VINETE | PASTĂ DE TOMATE,Sibiu,ODM Poplaca,"Sat Bradu, Str. Oltul Vechi, Nr. 1, Oraș Avrig, Județul Sibiu","Sat Dragalina, Str. Freziei, Nr. 57, Comuna Dragalina, Județul Călărași",0760 780 246,office@valeasoarelui.ro,https://produsmontan.ro/produse_montane/vinete-mosia-bogdan-s-r-l/ | https://produsmontan.ro/produse_montane/ceapa-mosia-bogdan-s-r-l/ | https://produsmontan.ro/produse_montane/ardei-gras-mosia-bogdan-s-r-l/ | https://produsmontan.ro/produse_montane/zacusca-de-legume-mosia-bogdan-s-r-l/ | https://produsmontan.ro/produse_montane/fasole-mosia-bogdan-s-r-l/,2026-03-11T10:37:02.654749
MUCSI M. ENIKÖ BEÁTA ÎNTREPRINDERE INDIVIDUALĂ,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținatoare  comunelor Catalina, Cernat, Turia și municipiului Târgu Secuiesc, județul Covasna","Municipiul Târgu Secuiesc, Str. Gării, Nr. 52/A, Județul Covasna",0727 581 857,857productieagricom@gmail.com,https://produsmontan.ro/produse_montane/cartofi-mucsi-m-eniko-beata-intreprindere-individuala/,2026-03-11T10:37:02.654749
MULLER ZOLTAN ÎNTREPRINDERE INDIVIDUALĂ,LAPTE DE VACĂ,Covasna,ODM Bodoc,"Sat Bixad, Nr. 90/H, Comuna Bixad, Județul Covasna","Sat Bixad, Nr. 270, Comuna Bixad, Județul Covasna",0730 079 455,455mullerzoltan@yahoo.com,https://produsmontan.ro/produse_montane/lapte-de-vaca-muller-zoltan-intreprindere-individuala/,2026-03-11T10:37:02.654749
MUNTEAN GABRIEL ÎNTREPRINDERE FAMILIALĂ,CIUPERCI MURATE | CIUPERCI PLEUROTUS,Sibiu,ODM Poplaca,"Comuna Poplaca, nr. 772, județul Sibiu","Comuna Poplaca, nr. 190, jud. Sibiu",0743 076 281,ifmunteangabriel@gmail.com,https://produsmontan.ro/produse_montane/ciuperci-murate-muntean-gabriel-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/ciuperci-pleurotus-muntean-gabriel-intreprindere-familiala/,2026-03-11T10:37:02.654749
MUNTEAN IRONIM PETRU ”STREMȚ”PERSOANĂ FIZICĂ AUTORIZATĂ,LAPTE CRUD DE VACĂ,Alba,ODM Săsciori,"Sat Geoagiu de Sus,  Comuna Stremț, Nr. 150, Județul Alba","Sat Geoagiu de Sus,  Comuna Stremț, Nr. 150, Județul Alba",0729 126 766,766muntean.petru82@yahoo.com,https://produsmontan.ro/produse_montane/lapte-crud-de-vaca-muntean-ironim-petru-stremtpersoana-fizica-autorizata/,2026-03-11T10:37:02.654749
MUNUNAR HORTENSIA-MARIA,IAURT DIN LAPTE DE BIVOLIȚĂ | CAȘCAVAL DIN LAPTE DE BIVOLIȚĂ | BRÂNZĂ TELEMEA DIN LAPTE DE BIVOLIȚĂ | BRÂNZĂ DE BURDUF DIN LAPTE DE BIVOLIȚĂ,Sibiu,ODM Poplaca,"Sat Bradu, Nr. 122, Oraș Avrig, Județul Sibiu","Sat Bradu, Nr. 122, Oraș Avrig, Județul Sibiu",0752 312 595,mununarh65@yahoo.com,https://produsmontan.ro/produse_montane/iaurt-din-lapte-de-bivolita-mununar-hortensia-maria/ | https://produsmontan.ro/produse_montane/cascaval-din-lapte-de-bivolita-mununar-hortensia-maria/ | https://produsmontan.ro/produse_montane/branza-telemea-din-lapte-de-bivolita-mununar-hortensia-maria/ | https://produsmontan.ro/produse_montane/branza-de-burduf-din-lapte-de-bivolita-mununar-hortensia-maria/,2026-03-11T10:37:02.654749
MUREȘAN I. ANDREI-DAN  ÎNTREPRINDERE INDIVIDUALĂ,FASOLE,Cluj,ODM Mărișel,"Sat Bedeciu, nr. 56, Comuna Mănăstireni, județul Cluj","Sat Bedeciu, nr. 56, Comuna Mănăstireni, județul Cluj",0743 551 577,muresan.andrei.dan.ii@gmail.com,https://produsmontan.ro/produse_montane/fasole-muresan-i-andrei-dan-intreprindere-individuala/,2026-03-11T10:37:02.654749
MUȚ ȘOFRON  PERSOANĂ FIZICĂ AUTORIZATĂ,MIERE POLIFLORĂ | MIERE DE SALCÂM,MARAMUREȘ,ODM Baia Mare,"Sat Lăpuș, Nr. 1237A, Comuna Lăpuș, Județul Maramureș","Sat Lăpuș, Nr. 1237A, Comuna Lăpuș, Județul Maramureș",0748 372 042,,https://produsmontan.ro/produse_montane/miere-poliflora-mut-sofron-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/miere-de-salcam-mut-sofron-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
MUȚIU I. IOAN ÎNTREPRINDERE FAMILIALĂ,LAPTE DE VACĂ ECOLOGIC,MARAMUREȘ,ODM Baia Mare,"Sat Lăpuș, nr 726, com. Lăpuș, județul Maramureș","Sat Lăpuș, nr 726, com. Lăpuș, județul Maramureș",0745 302 185,mutiuioan1@gmail.com,https://produsmontan.ro/produse_montane/lapte-de-vaca-ecologic-mutiu-i-ioan-intreprindere-familiala/,2026-03-11T10:37:02.654749
MUȚIU VICTOR PERSOANĂ FIZICĂ AUTORIZATĂ,MIERE DE SALCÂM | MIERE POLIFLORĂ,MARAMUREȘ,ODM Baia Mare,"Sat Lăpuș, Nr. 89A, Comuna Lăpuș, Județul Maramureș","Sat Lăpuș, Nr. 89A, Comuna Lăpuș, Județul Maramureș",0744 993 631,cretzu_victor2000@yahoo.com,https://produsmontan.ro/produse_montane/miere-de-salcam-mutiu-victor-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/miere-poliflora-mutiu-victor-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
MĂRINCUȘ RALUCA ALEXANDRA ÎNTREPRINDERE INDIVIDUALĂ,MORCOVI,Cluj,ODM Mărișel,"Sat Dângău Mic, Nr. 30, Comuna Căpușu Mare, Județul Cluj","Sat Dângău Mic, Nr. 30, Comuna Căpușu Mare, Județul Cluj",0757 979 422,422contaexpert.eurofond@yahoo.com,https://produsmontan.ro/produse_montane/morcovi-marincus-raluca-alexandra-intreprindere-individuala/,2026-03-11T10:37:02.654749
NAGY CSABA,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare Municipiului Tg. Secuiesc, Județul Covasna","Sat Lunga, Nr. 52, Municipiul Tg. Secuiesc, Județul Covasna",0744 350 287,287eszter_jakabos@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-nagy-csaba/,2026-03-11T10:37:02.654749
NAGY CSABA LEVENTE ÎNTREPRINDERE INDIVIDUALĂ,LAPTE DE VACĂ,Covasna,ODM Bodoc,"Sat Aita Seacă, Comuna Bățani, Nr. 423, Județul Covasna","Sat Aita Seacă, Comuna Bățani, Nr. 423, Județul Covasna",0744 483 645,,https://produsmontan.ro/produse_montane/lapte-de-vaca-nagy-csaba-levente-intreprindere-individuala/,2026-03-11T10:37:02.654749
NAGY LEVENTE,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare Municipiului Tg. Secuiesc, Județul Covasna","Sat Lunga, Nr. 51B, Municipiul Tg. Secuiesc, Județul Covasna",0744 350 287,287eszter_jakabos@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-nagy-levente/,2026-03-11T10:37:02.654749
NASTA NICOLAE,TELEMEA DIN LAPTE DE OAIE,Hunedoara,ODM Hunedoara,"Sat Romos, Comuna Romos, Nr. 236, Județul Hunedoara","Sat Romos, Comuna Romos, Nr. 236, Județul Hunedoara",0728 290 146,,https://produsmontan.ro/produse_montane/telemea-din-lapte-de-oaie-nasta-nicolae/,2026-03-11T10:37:02.654749
NEGREA C. PERSOANĂ FIZICĂ AUTORIZATĂ,MIERE POLIFLORĂ | MIERE DE SALCÂM,Gorj,ODM Tismana,"Sat Drăgoiești, Comuna Crasna, Județul Gorj","Sat Drăgoiești, Comuna Crasna, Nr. 306, Județul Gorj",0784236903,0784236903ngrcosmiserv21@yahoo.com,https://produsmontan.ro/produse_montane/miere-poliflora-negrea-c-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/miere-de-salcam-negrea-c-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
NIRO SERV COM S.R.L.,"TELEMEA DIN LAPTE DE VACĂ ""NIRO""",Suceava,ODM Prundu Bârgăului,"Localiatatea Gura Humorului, Str. Parcului, Nr. 15 A, Județul Suceava","Localitatea Gura Humorului, Str. Parcului, Nr. 15 A, Județul Suceava",0745 622 503,503niro_serv@yahoo.com,https://produsmontan.ro/produse_montane/telemea-din-lapte-de-vaca-niro-niro-serv-com-s-r-l/,2026-03-11T10:37:02.654749
NISTOR BOGDAN GEORGE PERSOANĂ FIZICĂ AUTORIZATĂ,FASOLE VERDE,Cluj,ODM Mărișel,"Sat Negreni, Nr. 262, Comuna Negreni,  Județul Cluj","Sat Negreni, Nr. 262, Comuna Negreni,  Județul Cluj",0757 427 992,,https://produsmontan.ro/produse_montane/fasole-verde-nistor-bogdan-george-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
OLÁH I. ISTVÁN ÎNTREPRINDERE INDIVIDUALĂ,PORUMB ZAHARAT | CARTOFI | SFECLĂ ROȘIE,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunelor  Cernat, Turia și Dalnic, județul Covasna","Sat Icafalău, Comuna Cernat, Nr.118, Județul Covasna",0722 941 782,782csabadezso@yahoo.com,https://produsmontan.ro/produse_montane/porumb-zaharat-olah-i-istvan-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/cartofi-olah-i-istvan-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/sfecla-rosie-olah-i-istvan-intreprindere-individuala/,2026-03-11T10:37:02.654749
OLÁH LAJOS,CARTOFI,Harghita,ODM Toplița,"Terenuri agricole aparținătoare comunei Lăzarea, Județul Harghita","Sat Lăzarea, Comuna Lăzarea, Nr. 161, Județul Harghita",0726 140 640,640lajosolah@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-olah-lajos/,2026-03-11T10:37:02.654749
ONEȚIU R. VALENTIN IF,BRÂNZĂ TELEMEA „TULNIC” | SMÂNTÂNĂ „TULNIC” | BRÂNZĂ FRĂMÂNTATĂ „TULNIC” | BRÂNZĂ TOPITĂ „TULNIC” | CAȘ MATURAT „TULNIC” | CAȘ CRUD „TULNIC” | LAPTE „TULNIC” | UNT DE CASĂ „TULNIC” | CAȘCAVAL DE CASĂ „TULNIC”,Alba,ODM Săsciori,"Sat Botești, nr. 46, localitatea Câmpeni, județul Alba","Sat Botești, nr. 46, localitatea Câmpeni, județul Alba",0748 156 397,onetiucristina36@gmail.com,https://produsmontan.ro/produse_montane/branza-telemea-tulnic-onetiu-r-valentin-if/ | https://produsmontan.ro/produse_montane/smantana-tulnic-onetiu-r-valentin-if/ | https://produsmontan.ro/produse_montane/branza-framantata-tulnic-onetiu-r-valentin-if/ | https://produsmontan.ro/produse_montane/branza-topita-tulnic-onetiu-r-valentin-if/ | https://produsmontan.ro/produse_montane/cas-maturat-tulnic-onetiu-r-valentin-if/,2026-03-11T10:37:02.654749
OZSVATH Z. ZOLTAN ÎNTREPRINDERE INDIVIDUALĂ,CARCASA BOVINĂ,Harghita,ODM Odorheiu Secuiesc,"Sat Căpâlnița, Comuna Căpâlnița, Nr. 289A, Județul Harghita","Sat Căpâlnița, Comuna Căpâlnița, Nr. 289A, Județul Harghita",0748 501 479,479ozsizoli@gmail.com,https://produsmontan.ro/produse_montane/carcasa-bovina-ozsvath-z-zoltan-intreprindere-individuala/,2026-03-11T10:37:02.654749
PAIZS ANTON,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri aparținătoare Municipiului Tg. Secuiesc, Județul Covasna","Municipiul Tg. Secuiesc, Str. Petofi Sandor, Nr. 32, Bl. 43, Sc. B, Ap. 5, Județul Covasna",0744 350 287,287eszter_jakabos@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-paizs-anton/,2026-03-11T10:37:02.654749
PAKUCI R. TAMAS PERSOANĂ FIZICĂ AUTORIZATĂ,CEAPĂ | CARTOFI | GRÂU,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținând comunei Ozun, județul Covasna","Sat Sântionluca, nr. 50, comuna Ozun, județul Covasna",0742 566 740,pakucstamas@gmail.com,https://produsmontan.ro/produse_montane/ceapa-pakuci-r-tamas-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/cartofi-pakuci-r-tamas-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/grau-pakuci-r-tamas-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
PALJANOS GYORGY,VARZĂ | CARTOFI | CEAPĂ,Covasna,ODM Întorsura Buzăului,"Terenuri agrigole aparținătoare comunei Cernat, județul Covasna","Sat cernat, comuna Cernat, nr. 680, județul Covasna",0747 428 169,hyurkapaljanos81@gmail.com,https://produsmontan.ro/produse_montane/varza-paljanos-gyorgy/ | https://produsmontan.ro/produse_montane/cartofi-paljanos-gyorgy/ | https://produsmontan.ro/produse_montane/ceapa-paljanos-gyorgy/,2026-03-11T10:37:02.654749
PANDURU ILEANA-MONICA PERSOANĂ FIZICĂ,UNT | URDĂ | LAPTE COVĂSIT | TELEMEA,Gorj,ODM Tismana,"Sat Baia de Fier, Comuna Baia de Fier,  nr. 827, județul Gorj","Sat Baia de Fier, Comuna Baia de Fier,  nr. 827, județul Gorj",0761.057.944,mariucapanduru@gmail.com,https://produsmontan.ro/produse_montane/unt-panduru-ileana-monica-persoana-fizica/ | https://produsmontan.ro/produse_montane/urda-panduru-ileana-monica-persoana-fizica/ | https://produsmontan.ro/produse_montane/lapte-covasit-panduru-ileana-monica-persoana-fizica/ | https://produsmontan.ro/produse_montane/telemea-panduru-ileana-monica-persoana-fizica/,2026-03-11T10:37:02.654749
PANTIȘ VICTOR PERSOANĂ FIZICĂ AUTORIZATĂ,MIERE POLIFLORĂ,Bihor,ODM Borod,"Sat Cornițel, Nr. 208, Comuna Borod, Județul Bihor","Sat Cornițel, Nr. 208, Comuna Borod, Județul Bihor",0775 271 121,,https://produsmontan.ro/produse_montane/miere-poliflora-pantis-victor-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
PAP ILEANA,ZMEURĂ,Covasna,ODM Întorsura Buzăului,"Terenul agricol aparținând  comunei Ghelința, județul Covasna","Sat Ghelința, Nr. 264,  Comuna Ghelința, Județul Covasna",0743 884 293,293pap.zsombor1988@gmail.com,https://produsmontan.ro/produse_montane/zmeura-pap-ileana/,2026-03-11T10:37:02.654749
PAȘCAN ANDREI,LAPTE CRUD DE VACĂ,Suceava,ODM Poiana Stampei,"Sat Podu Coșnei, Nr. 21, Comuna Coșna, Județul Suceava","Sat Podu Coșnei, Nr. 21, Comuna Coșna, Județul Suceava",0752.121.103,,https://produsmontan.ro/produse_montane/lapte-crud-de-vaca-pascan-andrei/,2026-03-11T10:37:02.654749
PETRUȚ NASTASIA,LAPTE DE VACĂ,Cluj,ODM Mărișel,"Sat Huta, Nr. 25A, Comuna Chiuiești, Județul Cluj","Sat Huta, Nr. 25A, Comuna Chiuiești, Județul Cluj",0769 614 332,,https://produsmontan.ro/produse_montane/lapte-de-vaca-petrut-nastasia/,2026-03-11T10:37:02.654749
PICHLER ALPÁR-TIBOR ÎNTREPRINDERE INDIVIDUALĂ,GRÂU COMUN,Covasna,ODM Bodoc,"Terenuri agricole aparținătoare comunei Vârghiș și orașului Baraolt, județul Covasna","Municipiul Sfântu Gheorghe, Str. Ciucului, Nr. 74, Județul Covasna",0745 125 116,116alpar_pichler@yahoo.com,https://produsmontan.ro/produse_montane/grau-comun-pichler-alpar-tibor-intreprindere-individuala/,2026-03-11T10:37:02.654749
PICHLER ANETTE,GRÂU COMUN | CARTOFI,Covasna,ODM Bodoc,"Terenuri agricole aparținătoare orașului Baraolt, județul Covasna","Municipiul Sfântu Gheorghe, Str. Kossuth Lajos, Nr.1, Bl. 2, Sc. D, Ap.6, Județul Covasna",0745 125 116,116alpar_pichler@yahoo.com,https://produsmontan.ro/produse_montane/grau-comun-pichler-anette/ | https://produsmontan.ro/produse_montane/cartofi-pichler-anette/,2026-03-11T10:37:02.654749
PINTEA ION,ZMEURĂ | NUCI | MERE | PRUNE,Bacău,ODM Dofteana,"Sat Dragomir, comuna Berzunți, județul Bacău","Sat Dragomir, comuna Berzunți, județul Bacău",0765 162 942,pintea.nelu66@yahoo.com,https://produsmontan.ro/produse_montane/zmeura-pintea-ion/ | https://produsmontan.ro/produse_montane/nuci-pintea-ion/ | https://produsmontan.ro/produse_montane/mere-pintea-ion/ | https://produsmontan.ro/produse_montane/prune-pintea-ion/,2026-03-11T10:37:02.654749
