denumire,judet,adresa,telefon,nr_autorizatie,data_emiterii,tip_autorizatie,descriere_autorizatie
"SC PROMPT SERVICE SYSTEM
TECHNOLOGY SRL",BUCUREŞTI,"Şos. Berceni, nr.1, bl.1, sc.2, et.4, ap.84, sector 4",021/4602646,A-2391,04.07.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
PROTECONS GRUP SRL,BUCUREŞTI,"Str. Berveni, nr.81, et.1, ap.6, sector 1",0721/422444,B-1537,30.03.2022,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
PRUVA CONSULTANCY SERVICES SRL,BUCUREŞTI,"Bd. Carol I, nr. 51, ap. 5, sector 2",021/3611741,A-3737,06.11.2013,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC PT GENERAL PROIECT STUDIO SRL,BUCUREŞTI,"Bd. Constantin Brâncoveanu, nr.1, bl.1, sc.G, et.2,
ap.8, sector 4",0722/599120,A-0548,27.12.2010,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
PROBIT SRL,BUCUREŞTI,"Şos.Pantelimon,nr.10-12, et.5, cam.1-5 şi 6-9,
sector 2",021/2526334,A-3262,14.03.2013,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC PROBITAS INTERNATIONAL SRL,BUCUREŞTI,"Str.Bilciureşti, nr.9A, et.4, sector1",021/3192636,A-1010,24.05.2011,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"PROIECT BUCUREŞTI GRUP
CONSULTANŢĂ IMOBILIARE SA",BUCUREŞTI,"Bd. Aviatorilor nr. 63, et.5, ap. 10",031/2287031,A-1447,27.10.2011,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC PRO SECURITY DISTRIBUTION SRL,BUCUREŞTI,"Str. Siriului, nr.20, Corp B, et.3,",021/2114075,A-1827,21.02.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
PROPER DESIGN SRL,BUCUREŞTI,"Str. Vlad Județul, nr.60, sector 3",0744/661002,A-8378,12.09.2018,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
PROSYS GRUP SRL,BUCUREŞTI,"B-dul Unirii, nr. 4, bl.8B, sc.2, et.8, ap.48, sector 4",0743/165597,A-2979,11.12.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
PROTECONS SRL,BUCUREŞTI,"Str. Berveni, nr.81, et.1, ap.6, sector 1",0721/422444,A-6490,21.11.2016,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC PROTECTOR SYSTEM SRL,BUCUREŞTI,"Şos.Dudeşti-Pantelimon, nr.19",021/2553173,A-1463,01.11.2011,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
PSI PROTECT SOLUTIONS SRL,BUCUREȘTI,"Str. Slt. Dima Cristescu, nr. 9, bl. 222, sc. A, et. 5,
ap. 22, sector 2",0764675954,B-5092,16.05.2025,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC PYRALIS SERVICES SRL,BUCUREŞTI,"Şos. Vitan- Bârzeşti. Nr.7D-7E, Spaţiul nr.12
situat în incinta Complexului Hotelier Rin Grand
Hotel, sector 4
Autorizată la:
Str. Buzeşti, nr. 59, bl. A5, sc.1, et.1, ap.62, sector
1","0374/043888
0723/710730","A-4802
A-3602","28.04.2014
05.08.2013",semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
PYROSTOP SRL,BUCUREŞTI,"Str. Vatra Luminoasă, nr.107, et.1, ap.3, sector 2",021/2507200,A-9050,07.06.2019,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
QUADRATUM ARCHITECTURE SRL,BUCUREŞTI,"Calea Plevnei, nr. 145B, ansamblul rezidențial
orhideea gardens, parter, P401, P402, P403, P404,
P405, P406, BL. 4",0754023080,B-4974,16.04.2025,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
RADFORMA INSTAL SRL,BUCUREŞTI,"Drumul Ciorogârla, nr. 297-299, bl. 1, sc. 1, ap. 5,
sector 6",0760085603,B-3576,14.03.2024,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
RAGEDA SECURITY SRL,BUCUREŞTI,"Str. Fortunei, nr.7, et.1, ap.4, sector 1",031/1051780,A-6215,12.08.2016,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
RAO PROEL SRL,BUCUREȘTI,"Str. George Vâlsan, nr. 10, bl. 108, sc. 1, et. 6, ap.
38, sector 6",0724098333,B-2261,26.01.2023,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
RASIROM RA,BUCUREŞTI,"Str. Pinul Alb, nr.3, sector 2",021/2301243,A-2517,03.08.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC RASSCO SECURITATE SA,BUCUREŞTI,"Str. Comana, nr.11, parter, sector 1",021/3129846,A-2274,29.05.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"REGIA AUTONOMĂ DE TRANSPORT
BUCUREȘTI RA",BUCUREŞTI,"B-dul Dinicu Golescu, nr.1, sector 1",021/3074370,A-7141,23.06.2017,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
REIS COMPANY SRL,BUCUREȘTI,"Str. Fântânica, nr. 36, hala O, spațiul OB 3, Sector
2",0722561892,B-2695,31.05.2023,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
REINVENT ENERGY SRL,BUCUREȘTI,"Str. Baba Novac, nr.8A, camera nr.22105, bl.C,
et.2, ap.221, sector 3",031/4334727,A-7559,08.11.2017,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SC R.C.A. – REŢELE DE COMUNICAŢII
AVANSATE SRL",BUCUREŞTI,"Str. Preciziei, nr.1, PBC, tronson 2, etaj 4, sector 6",021/4302177,A-2118,26.04.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
REBELL SECURITY SYSTEMS SRL,BUCUREŞTI,"str. Pătulului. Nr.6, bl.5, sc.1, et.7, ap.40, sector 3",0723/420286,A-5999,24.06.2016,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
RED WIRE CONCEPT SRL,BUCUREȘTI S,"tr. Sabinelor, nr. 19, camera 2, etaj 2, ap. 31",0748518562,B-1836,03.08.2022,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
REVERCON SRL,BUCUREŞTI Ș,"os. Mihai Bravu, nr.510, parter, sector 3",031/4380877,A-8431,20.09.2018,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
REZIDENTIAL SECURITY SRL,BUCUREŞTI,"Şos. Alexandria, nr.114, bl.OD1, sc.B, et.7, ap.76,
sector 5",0721/182453,A-3533,09.07.2013,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
RIO BLUE DESIGN SRL,BUCUREȘTI,"Str. Ștefan S. Nicolau, nr. 5, cam. 1, bl. O1, sc. 2,
et. 3, ap. 28, sector 3",0730112438,B-3079,28.09.2023,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
RISK SECURITY BUSINESS SRL,BUCUREŞTI,"Aleea Izvorul Oltului, nr. 6, bl. 29, sc. B, et. 2, ap.
24, sector 4",0755999789,B-3745,18.04.2024,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
RIVERGATE FIRE SRL,BUCUREŞTI,"Splaiul Unirii, nr.64, et.4, sector 4",021/4083571,A-8579,22.11.2018,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
RIV SISTEM INSTAL SRL,BUCUREŞTI,"Șos. București-Târgoviște, nr. 22, bl. B, et. 3, ap.
B10, sector 1",0723851145,B-3122,17.10.2023,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC ROBIMOND & CO CONSTRUCT SRL,BUCUREŞTI,"Str. Paul Greceanu, nr.9, bl.20A, sc.1, et.7, ap.45,
sector 2",0722/883659,A-1366,30.09.2011,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
ROHRER OILFIELD SERVICES SRL,BUCUREŞTI,"Str. Tăbliței, nr.1, parter, camera 1, sector 1",021/4100946,A-9379,11.10.2019,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC ROLF CONTROL ACCES SRL,BUCUREŞTI,"Intr. Drumul Taberei, nr.2, bl.I, sc.1, parter, ap.1,
sector 6",021/4112829,A-1920,20.03.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
ROM SERVICE CONSTRUCT SRL,BUCUREȘTI,"Str. Crusovat, nr.3, sector 1",021/6677263,B-1534,30.03.2022,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
ROMAIR CONSULTING SRL,BUCUREŞTI,"Str.mr.av. Şt. Sănătescu, nr.53, sector 1",021/3193211,A-5923,01.06.2016,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
ROMANIAN SECURITY SYSTEMS SRL,BUCUREŞTI,"B-dul Dimitrie Pompeiu, nr.10A, Conect 1, Modul
IV, et. 3, Camera 3, birou 2, sector 2",021/2640000,A-5740,04.04.2016,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC ROMANO ELECTRO SRL,BUCUREŞTI,"Str. Calimachi, nr.46, sector 2",021/2046020,A-0766,22.03.2011,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SC ROMCONT MANAGEMENT
CONSULTING 1975 SRL",BUCUREŞTI,"Aleea Brajul Sadului, nr.7, bl.M4, sc.B, et.6,
ap.71, sector 3",0744/820045,A-1502,15.11.2011,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC ROMEG INSTAL ENGINEERING SRL,BUCUREŞTI,"Str. Pescăruşului, nr.5, bl.B25, sc.1, Parter, ap.4,
cam1, sector 2",0721/745973,A-1909,14.03.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
ROMANIAN EXPERT CONSULTING SRL,BUCUREȘTI,"B-dul Unirii, nr. 64, bloc K 4, scara 5, ap. 134,
sector 3",0213237477,B-0026,30.07.2020,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
REGIO IMPEX SRL,BUCUREȘTI,"Str. Grădiștea Floreștilor, nr. 14, sector 2",0212246634,B-2465,23.03.2023,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
ROMINSERV SRL,BUCUREŞTI,"P-ţa Presei Libere, nr.3-5, clădirea CITY GATE
NORTHERN TOWER, et.3, sector 1",021/2723660,A-3557,16.07.2013,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
ROMFIRE PROTECT SOLUTIONS SRL,"BUCUREŞTI
9","Drumul Taberei, nr. 39, bl. OS4, sc. 3, et. 3, ap.
3, sector 6",0311106565,B-2344,14.02.2023,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
ROMSERVICE TELECOMUNICAŢII SRL,BUCUREŞTI,"B-dul Dimitrie Pompei, nr.8, et.4, sector 2",021/2046000,A-4467,07.11.2014,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC ROMTEST ELECTRONIC SRL,BUCUREŞTI,"Str. Iacobeni, nr.4, sector 5",021/4233607,A-1444,26.10.2011,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SC RON PROTECT SOLUTIONS SRL
Autorizat la:",BUCUREŞTI,"Str. Dumbrava Nouă, nr.33, bl. P3, sc. 4, et. 6,
ap.109, sector 5
B-dul Alexandru Obregia, nr.35, bl.35, sc.3, et.2,
ap.112, sector 4","0762474259
0762/474259","B-2302
A-1813","06.02.2023
17.02.2012",semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC ROSEGUR SA,BUCUREŞTI,"B-dul Ghica Tei, nr.64-70, sector 2",021/4084300,A-1038,03.06.2011,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
ROTARY CONSTRUCŢII SRL,BUCUREŞTI,"Bucureşti, str. Parcului, nr.77, sector 1",021/3239166,A-6503,25.11.2016,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC ROVIS CO SRL,BUCUREŞTI,"Str.Gârlei, nr.190A, sector 1",021/2240335,A-1659,04.01.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC ROYAL SECURITY SYSTEM SRL,BUCUREŞTI,"Str.Tătuleşti, nr.9, bl.85, sc.B, et.3, ap.25, sector 4",021/4565921,A-1751,30.01.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
R.S.V.T.I. CONSULTING SRL,BUCUREŞTI,"str. Ciberneticii, nr.19, camera 1, sector 2",021/7804531,A-4903,05.06.2015,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
RTGAW ELECTRIC SRL,BUCUREȘTI,"Drumul Belșugului, nr. 38G, lot 1, camera 1, bl.
P+4, sc. 2, et. 1, ap. 5, sector 6",0725607652,B-4134,29.07.2024,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
RUGBY CONSTRUCT SRL,BUCUREŞTI,"str.Ceahlăul, nr.25, bl.71, sc.4, et.2, ap.54, sector 6",031/1065905,A-7121,19.06.2017,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
RUSOIU LIVIU PFA,BUCUREŞTI,"Aleea Baiut, nr.13, bl.A34, sc.B,parter, ap.16,
sector 6",0722/331751,A-8627,12.12.2018,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SAFEGUARD TEHNIC SERVICES
SECURITY SRL",BUCUREŞTI,"Str. Soldat Stelian Mihale, nr. 6C, parter, sector 3",0762208377,B-3185,30.10.2023,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SAFETY FIRE SOLUTION CONCEPT SRL,BUCUREŞTI,"str. Cătănoaia, nr.33, Pavilion Administrativ, et.1,
birouri nr.22,23,25, sector 3",021/3124557,A-7425,26.09.2017,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SAFETY TECHNOLOGY SYSTEMS SRL,BUCUREŞTI,"str. Silvestru, nr.35, sector 2",0745/186705,A-7072,30.05.2017,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SAG SERVICES PROVIDER SRL,BUCUREŞTI,"Sos. Mihai Bravu, nr.75-83, bl.C17, sc.A, et.8,
ap.42, sector 2",021/2523221,A-4397,29.09.2014,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SAGARD SECURITY SRL,BUCUREŞTI,"Str. Ciocârliei, nr.32, bl. D24, sc.A, et.7, ap.41,
sector 2",0737/019402,A-3806,06.12.2013,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SAMTRONIX TEHNO SRL,BUCUREŞTI,"Șos. Berceni, nr.96, bl.A, et.3 ap.3.04, sector 4",0723/012340,B-1233,08.12.2021,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SA-VEL PUBLICITATE SRL,BUCUREȘTI,"Str. Păduroiu, nr.1, camera 1, bl.B24, sc.2, et.3,
ap.46, sector 4",0722135010,B-1531,30.03.2022,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SC SAV INTEGRATED SYSTEMS SRL
Autorizat la","BUCUREŞTI
BUCUREŞTI","Str. Progresului, nr.110-116, clădirea C1, cam. B3-
305, sector 5
B-dul Iuliu Maniu, nr.73,
bl3P,sc.4,et.6,ap.181,sector6",021/3167122,"A-6104
A-1922","18.07.2016
20.03.2012",semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SAV M&E DESIGN SRL,BUCUREŞTI,"Str. Mașina de Pâine, nr. 4, cam. 2, bl. OD32B, et.
4, ap. 20. Sector 2",0724/266683,B-2520,11.04.2023,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SARMIS-COLUMNA CONSULT SRL,BUCUREȘTI,"Str. Mărgeanului, nr. 20, bl, M36, et. 2, ap. 6,
sector 5",0722549440,B-4868,17.03.2025,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
S&B ENGINEERING SRL,BUCUREŞTI,"Str. Tugomir Voievod, nr.32A, ap.camera 2, sector
2",0744/494543,A-6461,09.11.2016,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
S&B TELECOM SRL,BUCUREŞTI,"Drumul Taberei, nr. 58, bl. GII6, sc. A, et. 8, ap.
51, sector 6",0723617112,B-2596,08.05.2023,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SCHIOPU GABRIELA PFA,BUCUREŞTI,"Str. Jean Steriadi, nr.25, bl.L16, sc.B, ap.85, sector
3",0746/206616,A-6125,19.07.2016,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SC SCORSEZE SECURITY
INTERNATIONAL SRL",BUCUREŞTI,"Şos. Mihai Bravu, nr. 67-73, bl.C18, sc. A, et.7,
ap.37, sector 2",021/3167274,A-2151,07.05.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC SCORSEZE POMPIERI SRL,BUCUREŞTI,"Şos. Mihai Bravu, nr. 67-73, bl.C18, sc. A, et.7,
ap.37, sector 2",021/3302052,A-2365,20.06.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SDSMAG SRL
Autorizat la:
SDSMAG SRL","BUCUREŞTI
BUCUREŞTI","Splaiul Unirii, nr.313, et.1, camera 1, sector 3
Str. Grigore Gabrielescu, nr.7, parter, sector 2","0745/144144
0744/361161","B-0386
A-6271","18.01.2021
01.09.2016",semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SEBINO FIRE RO SRL
Autorizata ca/la:
SEBINO FIRE PROTECTION AND
DETECTION SRL
Autorizat ca:
SEBINO LANDI TECHNOLOGICAL
SYSTEMS SRL
Autorizat la:
SEBINO FIRE PROTECTION SRL","ILFOV
BUCUREŞTI","Oraș Chitila, str. Panduri, nr. 122B, hala B
B-dul Timișoara, nr.4A, AFI PARK 4, parter,
sector 6
Str. Sg. Apostol Gheorghe Constantin, nr.8-10,
et.1, sector 6","0735554831
021/4403363","B-1868
A-6528
A-4978
A-2824","17.08.2022
08.12.2016
08.07.2015
01.11.2012",semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC SECANT SECURITY SRL,BUCUREŞTI,"Str.Pravăţ, nr.14, bl.P7, sc.D, et.1, ap.66, sector 6",031/4328215,A-1718,24.01.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SECUNET PROJECT SRL
Autorizat la:",BUCUREŞTI,"Str. Miletin, nr. 49, et. P, sector 3
Str. Maior Coravu, nr.17-23, parter, bl.C6, sc.A,
ap.1, sector 2","0783076718
021/7963362","B-2217
A-5970","09.01.2023
16.06.2016",semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SECURAN SRL,BUCUREŞTI,"Bd. Timișoara, nr. 104B, C1, sector 6",0723393728,B-3514,26.02.2024,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SECURE INSTAL SRL,BUCUREŞTI,"Str. Sf. Maria, nr.96, parter, ap.5, sector 1",0743/332040,A-9831,05.05.2020,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SECURIT FORCE SRL,BUCUREŞTI,"Str.Candiano Popescu, nr.97, bl.Corp A, parter,
ap.1, sector 4",021/2242969,A-5580,16.02.2016,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SECURON GROUP SRL,BUCUREŞTI,"Șos Giurgiului, nr.16, et.1, sector 4",0724/857560,A-8487,24.10.2018,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SECURITECH SRL,BUCUREŞTI,"Str. Petrache Poenaru, nr.48,sector 5",0723/265377,A-9297,06.092019,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SC SECURITY PLUS COM SRL
Autorizat la:","ILFOV
BUCUREŞTI","Dudu, com. Chiajna, str. Orhideelor, nr.6B, parter,
camera 3
Str.Arieşul Mare,nr.3,bl.I10,sc.C,et.1, ap.36,
sector 6","0722/382789
031/8088524","A-4970
A-1181","02.07.2015
27.07.2011",semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SECURITY SERVICE &
COMMUNICATIONS SRL",BUCUREŞTI,"Str. Mihail Cioranu, nr. 4, bl.68, sc.A, et.6, ap.25",0721/378065,A-2759,16.10.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SECURITY SISTEMS IMPEX SRL,BUCUREŞTI,"B-dul Gloriei, 51, sector 1",0722/569400,A-2951,29.11.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SECURITY STUDIO SRL,BUCUREŞTI,"Intr. Sgt. Apostol C-tin, nr.2, bl.2, sc.1, et.2, ap.5",0752/286860,A-6966,26.04.2017,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SECURITY ELITE SERVICE IMPEX SRL,BUCUREȘTI,"Str. Foișorului, nr.15, bl.F9C, sc.2, ap.108, sector
3",0722285003,A-7247,26.07.2017,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SECURITY SYSTEMS SERVICES SRL,BUCUREȘTI,"Bd. Gloriei, nr. 51, sector 1",0722569400,B-3680,08.04.2024,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SEIRA RAV AUTOMATIC SRL,BUCUREȘTI,"Str. Murgeni, nr. 7, camera 3, bloc L 27, scara A,
etaj 8, ap. 52",0756109231,A-9758,12.03.2020,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SELOKIM SRL,BUCUREŞTI,"Str. Baba Novac, nr. 23, cam. 1, bl. G10, sc. 2,
parter, ap. 45",0764022000,B-1906,30.08.2022,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC SET ALARM INTERNAŢIONAL SRL,BUCUREŞTI,"Str. Constantin Silvestri, nr. 12, ap. 1",021/3356292,A-1111,04.07.2011,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC SGPI SECURITY FORCE SRL,BUCUREŞTI,"Str. Vatra Dornei, nr.11, bl.18B+C, sc.2, et.1,
ap.50, sector 4",0746/118118,B-0196,26.10.2020,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC SHARKS SECURITY SRL,BUCUREŞTI,"Intr. Aniversării, nr.39A, subsol, ap.4",021/3270070,A-2587,29.08.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SC SHARP DESIGN&CONSULTING SRL
Autorizată la:
SC SHARP DESIGN&CONSULTING SRL","BUCUREŞTI
BUCUREŞTI","Str. Dreptății, nr.5, bl.M22A, sc.1, et.6, ap.26,
sector6
Aleea Cricovul Sărat, nr.5, bl.12, sc.A, et.2, ap.8,
sector 4","0726/172060
0752/236216","B-1573
A-8706","06.04.2022
22.01.2019",semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC SIEMENS SRL,BUCUREŞTI,"Bd. Preciziei, nr.24, imobil H3, et.3-5, sector 6",021/6296663,A-0445,16.11.2010,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SC SIEMENS ENERGY SRL
Autorizată la",BUCUREŞTI,"Str. Serg. Ion Nuțu, nr. 44, Clădirea One Cotroceni
Park Office, etaj 4, sector 5",0744516397,B-3367,11.01.2024,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SIEMENS MOBILITY SRL,BUCUREŞTI,"Str. Preciziei, nr.24, West Gate Business Center,
et.5, birou nr.5.25, sector 6",021/6296505,A-9370,04.10.2019,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SC SIGHT CONTROL SRL
Autorizată la",BUCUREŞTI,"Str. Negustori, nr.23-25, bl.II, et.3, ap. F şi G,
biroul C, sector 2
Bd. Timişoara, nr.61, bl.C3, sc.C, et.3, ap.55,
sector 6",0748/238461,"A-4752
A-1482","30.03.2015
08.11.2011",semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SC SIGURA – TOTAL FIRE & BULDING
ENGINEERING SRL",BUCUREŞTI,"Drumul Balta Arin, nr, 4, et.1, camera 2, sector 3",021/3123132,A-2183,14.05.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC SIMTEL TEAM SRL,BUCUREŞTI,"Str.Estacadei, nr. 1C, sector 6",0724/332518,A-2581,29.08.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SION SECURITY SRL,BUCUREŞTI,"B-dul Regiei, nr.2, Corp 33, cam 14, sector 6",0372/753343,A-2972,07.12.2012,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SION SOLUTION SRL,BUCUREŞTI,"Str. Nicolae Teclu, nr.10, birou nr.13, sector 3",0735/188889,A-3976,26.02.2014,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC SIRIUS PROIECTARE STUDII SRL,BUCUREŞTI,"Aleea Parva, nr. 10, bl. D23, sc. C, parter, ap. 22,
sector 6",021/7770084,A-0342,11.10.2010,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SISCO CONSULT SECURITY SRL,BUCUREŞTI,"Str. C-tin Bosianu, nr.10, sector 4",0735/539002,A-4657,20.02.2015,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SITRACO INTERNATIONAL AMBIENT
CONSTRUCT SRL",BUCUREȘTI,"Str. Episcop Ilarion, nr.23, corp B, sector 2",021/3270171,B-1629,18.04.2022,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"BLUE INFRASEC SRL
Autorizată ca:
SISTEC NETWORK TECHNOLOGIES SRL",BUCUREŞTI,"B-dul Bucureştii Noi, nr.25A, imobil P+3, et.3,
birou nr.307, sector 1",021/4083003,"A-6989
A-3594","10.05.2017
31.07.2013",semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SISTEC – SBSOL SRL,BUCUREŞTI,"Drumul Săbăreni, nr. 24-20, sector 6",021/4083200,A-3404,22.05.2013,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SKAURUS SECURITY SRL,BUCUREŞTI,"Galați, Str. Traian, nr. 178",0236414321,B-2550,13.04.2023,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"BSS CONSTRUCTION & MAINTENANCE
SRL
Autorizat ca:
SKYLUX SRL
Autorizat la:
SKYLUX SRL","BUCUREŞTI
ILFOV","Bd. Lascăr Catargiu, nr. 47-53, Clădirea Europe
House, cam. 2, et. 2, sector 1
București, str. Mihai Eminescu, nr.102-104,
camera 1, et.5, ap.11, sector 2
Voluntari, Șos. Pipera-Tunari, nr.1H, Pipera, Vila
T3, cam. 3, et.1","0212084150
0769/649225
0769/649225","B-3716
B-0427
A-8245","15.04.2024
12.02.2021
16.07.2018",semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SKYLUX SECURITY SRL,BUCUREŞTI,"Şos. Pantelimon, nr. 256, bl. 53, sc. D, et. 9, ap.
248, sector 2",0728/482728,A-5023,06.08.2015,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SOCIETATEA PENTRU SERVICII DE,BUCUREŞTI,"B-dul General Ghe. Magheru, nr.33, sector 1",021/3054402,A-6599,10.01.2016,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
"SC SMART AUTOMATION CONCEPT SRL
Autorizată ca
NEOTRONIX AUTOMATION SRL",BUCUREŞTI,"Str. Diligenţei, nr.3, et.1, sector 3",021/3211212,"A-1493
A-0676","11.11.2011
18.02.2011",semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SC SMART DESIGN INSTALAŢII SRL,BUCUREŞTI,"Str. Academiei, nr.35-37, sc.A, et.5, ap.14, sector
1",0745/981332,A-1409,17.11.2011,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SMART DESIGN & SECURITY SRL,BUCUREŞTI,"Str. Sg. Maj. Ion Nedeleanu, nr.10, bl. P60, sc. 2,
et. 6, ap. 53, cam 1, sector 5",0728/883884,A-3503,20.06.2013,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
SMART ENGINEERING SYSTEMS SRL,BUCUREȘTI,"Str. Mașina de Pâine, nr.20A, bl.6, sc.A, ap.42,
sector 2",0747/279179,A-6852,30.03.2017,semnalizare_proiectare,Proiectare semnalizare alarmare incendiu
