company_name,cui,phone,phone_e164,sector,city,jobs,positions_total,source_date
SC INDPRODCOM SRL,2118933,0799.312.062,+40799312062,COMERT,BUCURESTI SECTORUL 6,OPERATOR COMERCIAL(1) | OPERATOR COMERCIAL(2) | OPERATOR CALCULATOR ELECTRONIC SI RETELE(1),110,20260416
BODONEA VIOLETA-DIANA EMELISE,36422642,0744548645,+40744548645,COMERT,ARCHIS,UCENIC(2),78,20260331
BALLA-SOL SRL,18277099,0745193689,+40745193689,COMERT,CRASNA,VÂNZATOR(1),77,20260416
ARENA PLUS SRL,44696096,0723507646,+40723507646,COMERT,HUNEDOARA,VÂNZATOR(2),188,20260416
FRIGOSERV SRL,6276928,0237262759,+40237262759,COMERT,BILIESTI,LUCRATOR COMERCIAL(2),6,20260316
DISTAL MARK SRL,18606140,0769215057,+40769215057,COMERT,BUCURESTI SECTORUL 5,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(15)",1155,20260416
RIVALY C.H. SRL,1767380,0258771839,+40258771839,COMERT,CAMPENI,BRUTAR(2) | BUCATAR(2) | LUCRATOR COMERCIAL(1) | PREPARATOR DE SEMIFABRICATE SI PREPARATE CULINARE(2) | OSPATAR (CHELNER)(1),296,20260416
IMPEX L.M.MAKY SRL,8299820,0747798103,+40747798103,COMERT,ARAD,GESTIONAR DEPOZIT(1) | SOFER DE AUTOTURISME SI CAMIONETE(1),93,20260416
S.C. DENILARI S.R.L,16425172,0744478845,+40744478845,COMERT,CUTCA,LUCRATOR COMERCIAL(1),39,20260331
Maryon Ambalaje,35868460,0754.567.943,+40754567943,COMERT,BUCURESTI SECTORUL 5,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2)",78,20260331
AGRODISTRITAM SRL,27424946,0727264571,+40727264571,COMERT,MOTRU,SOFER DE AUTOTURISME SI CAMIONETE(1),15,20260320
ROYALE SUCIU IMPEX SRL,15115076,0766282466,+40766282466,COMERT,URICANI,VÂNZATOR(1),3,20260316
BADCOM SRL,4701967,0741097325,+40741097325,COMERT,MUNICIPIUL RAMNICU VALCEA,GESTIONAR DEPOZIT(1) | MANIPULANT MARFURI(1),67,20260331
ROMPROFIX SRL,20923302,0733550027,+40733550027,COMERT,ORADEA,MANIPULANT MARFURI(1),39,20260331
POP DUMITRU FLORIN SEBASTIAN ÎNTREPRINDERE INDIVIDUALĂ,26376727,0745306533,+40745306533,COMERT,ALESD,VÂNZATOR(2),78,20260331
SC AGRO PATAKI SRL,12301090,0737526985,+40737526985,COMERT,SATU MARE,LUCRATOR COMERCIAL(1),34,20260330
TREND COFEE SRL,53143117,0722629569,+40722629569,COMERT,MUNICIPIUL GIURGIU,LUCRATOR COMERCIAL(2) | PREPARATOR DE SEMIFABRICATE SI PREPARATE CULINARE(1),145,20260416
SC DESI MASALA SRL,47000732,0745085235,+40745085235,COMERT,DUDU,VÂNZATOR(2),78,20260331
RADISTALX SRL,33900041,0729484789,+40729484789,COMERT,BUCURESTI SECTORUL 2,LUCRATOR COMERCIAL(30),90,20260316
MASTEL COM SRL,8519241,0722259919,+40722259919,COMERT,SLOBOZIA,CROITOR(1),15,20260320
ART CAKES CONCEPT SRL,43913324,0787672779,+40787672779,COMERT,DEVA,VÂNZATOR(3),168,20260407
ART.LINE INVEST S.R.L.,45157979,0787672779,+40787672779,COMERT,SIBIU,LUCRATOR COMERCIAL(5),280,20260407
ART.COM. CONCEPT SRL,49309450,0787672779,+40787672779,COMERT,DEVA,VÂNZATOR(2),112,20260407
PRO CERTCONSACT SRL,39976146,0723278567,+40723278567,COMERT,PETROSANI,DIRECTOR VÂNZARI(1),2,20260316
INTERBRANDS ORBICO S.R.L.,3786280,021.336.19.15,+40213361915,COMERT,CLUJ-NAPOCA,AGENT COMERCIAL(1) | MERCANTIZOR(1) | SEF SERVICIU COMERT CU RIDICATA SI CU AMANUNTUL(1) | SEF RAION/ADJUNCT MARFURI ALIMENTARE/NEALIMENTARE(1) | ASISTENT DE CABINET(1),675,20260415
ANASTADOR SRL,22867454,0766402558,+40766402558,COMERT,ILVA MICA,LUCRATOR COMERCIAL(1),3,20260316
IACOB ICĂ MARKET SRL,36100140,0766250966,+40766250966,COMERT,MAVRODIN,Conducător auto transport rutier de mărfuri(1),42,20260416
BVH RUBBER TRADE SRL,31068790,0765771661,+40765771661,COMERT,TURCINESTI,CONSILIER AFACERI EUROPENE(1),4,20260317
SANDEN MIXT S.R.L.,45519211,0746404231,+40746404231,COMERT,SOMES-GURUSLAU,VÂNZATOR(1),17,20260320
NIVA IMPEX SRL,7733815,0364410355,+40364410355,COMERT,TURDA,LUCRATOR COMERCIAL(1),6,20260317
TRITON IMPEX SRL,6602919,0722754528,+40722754528,COMERT,BUZAU,MANIPULANT MARFURI(1) | LUCRATOR COMERCIAL(1),9,20260317
SC QUASARI SRL,27696355,0754552325,+40754552325,COMERT,GALATI,OPERATOR LA FABRICAREA FILMELOR FOTOGRAFICE(2) | OPERATOR LA FABRICAREA FILMELOR FOTOGRAFICE(1),225,20260415
SELGOT COMPANY S.R.L.,36642052,0753625073,+40753625073,COMERT,LANCRAM,"MANIPULANT MARFURI(1) | OPERATOR INTRODUCERE, VALIDARE SI PRELUCRARE DATE(1)",6,20260316
CRINEMIL SRL,15195997,0727346442,+40727346442,COMERT,DEJ,LUCRATOR COMERCIAL(1),13,20260320
RALEX UTILAJE S.R.L.,32650125,0735882022,+40735882022,COMERT,CARPINIS,MECANIC AUTO(2) | MONTATOR SUBANSAMBLE(1),65,20260330
JUUL LOGISTIC SRL,50086599,0754320000,+40754320000,COMERT,BUCURESTI SECTORUL 5,LUCRATOR COMERCIAL(4),24,20260317
SC LEATHER&SHOE SRL,22327438,0369630033,+40369630033,COMERT,TIMISOARA,SEF SERVICIU COMERT CU RIDICATA SI CU AMANUNTUL(1) | LUCRATOR COMERCIAL(1),114,20260401
MARNA SA,1471871,0250730302,+40250730302,COMERT,RAMNICU VALCEA,"MANIPULANT MARFURI(1) | LUCRATOR COMERCIAL(1) | OPERATOR INTRODUCERE, VALIDARE SI PRELUCRARE DATE(1) | MECANIC AUTO(1)",216,20260416
NEMACORD SRL,22011450,0746024458,+40746024458,COMERT,COTARGASI,VÂNZATOR(1) | Conducător auto transport rutier de mărfuri(1),78,20260331
Meron Roastery,37431649,0744833724,+40744833724,COMERT,FLORESTI,PREPARATOR SUROGATE CAFEA(2),154,20260416
MARTEOSTEF S.R.L.,34241917,0755490683,+40755490683,COMERT,VASLUI,PATISER(2) | AJUTOR BUCATAR(2) | MANIPULANT MARFURI(2),182,20260410
CSOKIZO SRL,47913971,0741661484,+40741661484,COMERT,VLAHITA,VÂNZATOR(1),44,20260401
CORVETTE PARK SRL,33625073,0722947849,+40722947849,COMERT,BUCURESTI SECTORUL 5,OPERATOR LA FABRICAREA PRODUSELOR FAINOASE(5),15,20260316
VLADA A. IULIAN CĂTĂLIN ÎNTREPRINDERE INDIVIDUALĂ,44777360,0760653277,+40760653277,COMERT,ORAS VIDELE,LUCRATOR COMERCIAL(1),32,20260327
ROCARO DIVERS COMPLET SRL,26202003,0747196193,+40747196193,COMERT,MIHAESTI,MANIPULANT MARFURI(1),11,20260330
MATUKA FER NEF INVEST SRL,30403897,0740055548,+40740055548,COMERT,ODORHEIU SECUIESC,MUNCITOR NECALIFICAT ÎN METALURGIE(4),36,20260318
AM DEUTSCHER MARKT S.R.L.,39276991,0721586192,+40721586192,COMERT,SINAIA,LUCRATOR COMERCIAL(1) | VÂNZATOR(1),79,20260416
BELLUXA LAUR SRL,46452829,0765839203,+40765839203,COMERT,MEDGIDIA,CASIER(1) | LUCRATOR COMERCIAL(1),76,20260416
SACHELARIE NEWMARKET S.R.L.,46672581,0762683160,+40762683160,COMERT,TECUCI,VÂNZATOR(1),2,20260316
GRETTA STARS SRL,33496998,0768039316,+40768039316,COMERT,AFUMATI,LUCRATOR COMERCIAL(5),30,20260317
VELVET ARGY FLO SRL,45731574,0754056730,+40754056730,COMERT,BUCURESTI SECTORUL 2,LUCRATOR COMERCIAL(5) | LUCRATOR COMERCIAL(1),26,20260327
EMUDDING S.R.L.,42609840,0745142546,+40745142546,COMERT,TARGU SECUIESC,GESTIONAR DEPOZIT(1),3,20260316
SAHARA FASHION OUTLET SRL,44467440,0740525651,+40740525651,COMERT,CLUJ-NAPOCA,LUCRATOR COMERCIAL(10),390,20260331
ANDAR GRAIN TRADING SRL,43455480,0731255812,+40731255812,COMERT,STEFANESTII DE JOS,LUCRATOR COMERCIAL(1),6,20260317
GELADI SRL,13712191,0237263093,+40237263093,COMERT,PUFESTI,MECANIC UTILAJ(1) | SOFER DE AUTOTURISME SI CAMIONETE(1) | MANIPULANT MARFURI(1),108,20260416
TWO STARS SRL,50030911,074520666,+40074520666,COMERT,OTOPENI,MANAGER(2) | ASISTENT MANAGER(2) | SECRETARA(2) | MANIPULANT MARFURI(10) | GESTIONAR DEPOZIT(10),156,20260317
CAFE BAR IVONA S.R.L.,43063983,740807000,+40740807000,COMERT,GURGHIU,VÂNZATOR(2),78,20260331
COJOCARU N. OVIDIU IONUT INTRPRINDERE INDIVIDUALA,30610515,0767447571,+40767447571,COMERT,MUNICIPIUL CARACAL,LUCRATOR COMERCIAL(1),2,20260316
SC LAMBERTO INVEST SRL,49842959,0766104103,+40766104103,COMERT,MUNICIPIUL ROSIORI DE VEDE,CONTROLOR CALITATE(1),65,20260410
Munteanumarket Srl,29905490,0764217898,+40764217898,COMERT,COSTINESTI,LUCRATOR COMERCIAL(4),308,20260416
RENONE ASSETS S.R.L.,43272378,0745795091,+40745795091,COMERT,CRISTINESTI,VÂNZATOR(1),1,20260316
TOPAZ COM SRL,9530108,0734550438,+40734550438,COMERT,ZIMNICEA,LUCRATOR COMERCIAL(6) | OPERATOR CALCULATOR ELECTRONIC SI RETELE(2) | LUCRATOR COMERCIAL(5),598,20260416
BRANADI IMPEX SRL,28918751,0767168459,+40767168459,COMERT,MUNICIPIUL CRAIOVA,VÂNZATOR(1),3,20260316
CEMENTARTE SRL,11994282,0751082910,+40751082910,COMERT,BAIA DE CRIS,REPREZENTANT COMERCIAL(1),3,20260316
EPINVEST SRL,6541951,0752155582,+40752155582,COMERT,FLORESTI,CONSILIER/EXPERT/INSPECTOR/REFERENT/ECONOMIST ÎN ECONOMIE GENERALA(1) | GESTIONAR DEPOZIT(1) | RECEPTIONIST(1) | DISPECER(1),53,20260416
DESERTEO SRL,48273749,0721604879,+40721604879,COMERT,BUCURESTI SECTORUL 2,BRUTAR(3) | FEMEIE DE SERVICIU(1),72,20260318
AMM-MARS ENERGY SRL,47071466,0744765509,+40744765509,COMERT,MUNICIPIUL TURDA,LUCRATOR COMERCIAL(2) | LUCRATOR COMERCIAL(1) | LUCRATOR COMERCIAL(12) | CONSILIER/EXPERT/INSPECTOR/REFERENT/ECONOMIST ÎN ECONOMIE GENERALA(1) | LUCRATOR COMERCIAL(9),808,20260408
ALTEX ROMANIA SRL,2864518,+4 021 319 99 39,+40213199939,COMERT,VASLUI,"LUCRATOR COMERCIAL(17) | CASIER(5) | SEF BIROU COMERT CU RIDICATA SI CU AMANUNTUL(4) | MANAGER FINANCIAR(1) | DIRECTOR/DIRECTOR ADJUNCT, INSPECTOR-SEF(1)",7800,20260410
CON GENERAL SPEED SRL,28093140,0767161804,+40767161804,COMERT,BAILESTI,MASINIST LA INSTALATIILE DE PREPARAT SI TURNAT BETON SI MIXTURI ASFALTICE(1),39,20260331
COP ADEMAN CONSTRUCT S.R.L.,46310042,0773398936,+40773398936,COMERT,ROSIA,SECRETARA(1) | MANIPULANT MARFURI(1),55,20260331
FRAHER RETAIL SRL,24632756,0729700957,+40729700957,COMERT,MUNICIPIUL TULCEA,SEF RAION/ADJUNCT MARFURI ALIMENTARE/NEALIMENTARE(2) | MANIPULANT MARFURI(1),195,20260410
AXON SPEDITION SRL,13262143,0259447063,+40259447063,COMERT,AUSEU,MANIPULANT MARFURI(1),39,20260331
TANOOR BREAD,44835313,0721604879,+40721604879,COMERT,BUCURESTI SECTORUL 4,BRUTAR(5) | FEMEIE DE SERVICIU(1),54,20260318
MISSIONE SPERANZA,32511658,0740135878,+40740135878,COMERT,MUNICIPIUL BAIA MARE,MANIPULANT MARFURI(1),77,20260416
ASEROM SRL,50699127,0730519148,+40730519148,COMERT,TUNARI,AGENT DE VÂNZARI(1),6,20260317
GENERAL SMART FARM SRL,29883252,0733440120,+40733440120,COMERT,BUCURESTI SECTORUL 2,ASISTENT FARMACIST(1),77,20260416
STARTALTERNATIV SRL,49762450,0728070691,+40728070691,COMERT,ORAS POPESTI-LEORDENI,LUCRATOR COMERCIAL(15) | MANIPULANT MARFURI(10),225,20260318
EDENKERT SRL,15481689,07455515025,07455515025,COMERT,ODORHEIU SECUIESC,Comerciant vanzator marfuri nealimentare(2) | PEISAGIST-FLORICULTOR(3) | MUNCITOR NECALIFICAT ÎN AGRICULTURA(3) | PEISAGIST-FLORICULTOR(2),373,20260414
EURO SANGIFT SRL,16605475,0745/387503,+40745387503,COMERT,ODORHEIU SECUIESC,SECRETARA(1) | MANIPULANT MARFURI(1) | MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(1),92,20260415
SESSLER IMPEX SRL,6076822,0745081802,+40745081802,COMERT,BAIA MARE,MAGAZINER(1),39,20260331
S.C. ALEMAT COFN S.R.L.,38299490,0771594428,+40771594428,COMERT,BUCURESTI SECTORUL 5,LUCRATOR BUCATARIE (SPALATOR VASE MARI)(1),77,20260416
RAINEK S.R.L.,48098540,0753368873,+40753368873,COMERT,IASI,LUCRATOR COMERCIAL(1),27,20260325
PEST CONVAS S.R.L.,15132433,0721330326,+40721330326,COMERT,MUNICIPIUL TARGOVISTE,SOFER DE AUTOTURISME SI CAMIONETE(1) | SUBINGINER AGRONOM(1) | INGINER AGRONOM(1) | TEHNICIAN AGRONOM – EXPLOATARE(1) | MANIPULANT MARFURI(1),17,20260316
AMICII SRL,7010249,0722630244,+40722630244,COMERT,GIURGIU,LUCRATOR COMERCIAL(1),39,20260331
COSINES OIL SRL,36201323,0728224351,+40728224351,COMERT,UMBRARESTI-DEAL,VÂNZATOR(1),27,20260325
TOM GRUP SRL,34518628,0766707922,+40766707922,COMERT,IASI,Operator Umplere Recipiente GPL(1),10,20260319
S.C. LIFE ART DISTRIBUTIE SRL,15202911,0724838508,+40724838508,COMERT,JOITA,"MANAGER MARKETING (TARIFE, CONTRACTE, ACHIZITII)(1) | ASISTENT COMERCIAL(1)",78,20260331
GLONOS MULTICOM SRL,22759568,0749709063,+40749709063,COMERT,MADARAS,MANIPULANT MARFURI(1),6,20260317
KATY MAR FASHION S.R.L.,4841669,0746268228,+40746268228,COMERT,VATRA DORNEI,MERCEOLOG(3),3,20260316
ABCDD CEREAL TRADIND S.R.L,28544231,+40 753 084 820,+40753084820,COMERT,SARICHIOI,MUNCITOR NECALIFICAT ÎN AGRICULTURA(2),24,20260319
FABYFARM PET SRL,17765792,0743000000,+40743000000,COMERT,VALENII DE MUNTE,Conducător auto transport rutier de mărfuri(5),385,20260416
BELLROM IMPORT EXPORT SRL,9211850,0737561189,+40737561189,COMERT,AFUMATI,AGENT DE VÂNZARI(1),12,20260317
AVIA LUX SRL,4104802,0728131942,+40728131942,COMERT,LETCANI,MANIPULANT MARFURI(1),3,20260316
VILYO CONFORT SRL,30062242,0738591922,+40738591922,COMERT,MOSNITA VECHE,MANIPULANT MARFURI(10) | BUCATAR(1),290,20260416
XIN SHENG ACTIV S.R.L.,38585999,0728669682,+40728669682,COMERT,FUNDENI,LUCRATOR COMERCIAL(2),18,20260318
S.C. SOFT MARKET BUSINESS SRL,33519757,0768039317,+40768039317,COMERT,AFUMATI,VÂNZATOR(5),60,20260319
GOTSI SRL,36669473,0749071419,+40749071419,COMERT,VULTURESTI,ADMINISTRATOR SOCIETATE COMERCIALA(1) | MERCEOLOG(1),34,20260320
ORISTE COM SRL,9793783,0749198181,+40749198181,COMERT,MUNICIPIUL VASLUI,LUCRATOR COMERCIAL(2) | LUCRATOR COMERCIAL(1),116,20260416
FAGALIA STORE SRL,53704970,0726670387,+40726670387,COMERT,ORADEA,LUCRATOR COMERCIAL(1),1,20260316
PANMONT SA,2044615,0233216031,+40233216031,COMERT,PIATRA-NEAMT,AGENT DE VÂNZARI(1),26,20260325
ALBERTEMMA SRL,18480050,0230235210,+40230235210,COMERT,PALTINOASA,LUCRATOR COMERCIAL(1) | ANALIST FINANCIAR(1),42,20260323
SISTEM PROSPER SRL,17019741,0746468119,+40746468119,COMERT,BUCURESTI SECTORUL 2,LUCRATOR COMERCIAL(6),72,20260319
AUTOSPORT SRL,514931,0266/311500,+40266311500,COMERT,MIERCUREA CIUC,LUCRATOR GESTIONAR(1),45,20260402
SEDCOM LIBRIS SA IASI,1972163,0232234582,+40232234582,COMERT,IASI,Responsabil tehnic cu execuția(1),39,20260331
JOSEPH AGRO SYSTEMS SRL,45139530,0727118550,+40727118550,COMERT,MUNICIPIUL GALATI,AGENT DE VÂNZARI(1) | DESIGNER PAGINI WEB (STUDII MEDII)(1) | INGINER PRODUCTIE(1),18,20260319
KEVAYA S.R.L.,50780131,0721454889,+40721454889,COMERT,MUNICIPIUL PETROSANI,LUCRATOR COMERCIAL(1),6,20260317
SUPECO INVESTMENT SRL,33067767,0756144201,+40756144201,COMERT,CALARASI,LUCRATOR COMERCIAL(1) | LUCRATOR COMERCIAL(2) | GESTIONAR DEPOZIT(1),26,20260331
APROMAN LOGISTIC SRL,43793023,0740998756,+40740998756,COMERT,ORADEA,LUCRATOR COMERCIAL(1),3,20260316
CASA DEL GELATO S.R.L.,52670666,0744369719,+40744369719,COMERT,BAIA MARE,DIRECTOR ECONOMIC(1),9,20260318
AQUA TRANSALPINA S.R.L.,48281695,0760132880,+40760132880,COMERT,SASCIORI,"OPERATOR INTRODUCERE, VALIDARE SI PRELUCRARE DATE(1)",39,20260331
EUTRON INVEST ROMANIA,4096491,0723684360,+40723684360,COMERT,BUCURESTI SECTORUL 1,TEHNICIAN ECHIPAMENTE DE CALCUL SI RETELE(4) | TEHNICIAN ECHIPAMENTE DE CALCUL SI RETELE(3),65,20260323
MARI DAS FAMILY S.R.L.,47131584,0722904646,+40722904646,COMERT,CARJITI,LUCRATOR COMERCIAL(1),65,20260410
REGINA OVERSEAS COM SRL,18390925,0722664629,+40722664629,COMERT,BUCURESTI SECTORUL 2,LUCRATOR COMERCIAL(4),48,20260319
OIL TERMINAL SUD S.R.L.,40698639,735884220,+40735884220,COMERT,NANOV,AGENT DE VÂNZARI(1),27,20260325
PAUL TREND SRL,28463935,0730519148,+40730519148,COMERT,FUNDENI,LUCRATOR COMERCIAL(1),12,20260319
TIMEEA SARA S.R.L,49387032,0766409478,+40766409478,COMERT,CALAN,VÂNZATOR(3) | VÂNZATOR(1) | SOFER DE AUTOTURISME SI CAMIONETE(4) | BRUTAR(2) | AMBALATOR MANUAL(4),786,20260416
DOLADELA COMPANY SRL,8536927,0722335272,+40722335272,COMERT,GALATI,MUNCITOR NECALIFICAT LA AMBALAREA PRODUSELOR SOLIDE SI SEMISOLIDE(1),2,20260316
AMALINCO MARKET S.R.L.,52948917,0746424874,+40746424874,COMERT,MUNICIPIUL VASLUI,LUCRATOR COMERCIAL(1),6,20260317
ONE DAY SRL,50763840,0741048240,+40741048240,COMERT,MUNICIPIUL HUNEDOARA,VÂNZATOR(1),39,20260331
RAMS COM SRL,4853221,0730008084,+40730008084,COMERT,MODELU,LUCRATOR COMERCIAL(3),195,20260410
LT BUSINESS CENTER,33181442,0722361212,+40722361212,COMERT,BOLINTIN-DEAL,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(1) | OPERATOR LA PRELUCRAREA MASELOR PLASTICE(1)",42,20260407
PAPITTO&amp;LUIGI S.R.L.,43084862,0762223648,+40762223648,COMERT,SIMERIA,OSPATAR (CHELNER)(1),17,20260320
FRESH FOOD FACTORY SRL,43873513,0721260277,+40721260277,COMERT,BUCURESTI SECTORUL 6,LUCRATOR COMERCIAL(3),51,20260320
AMORY LONDON RETAIL SRL,52459392,0767858404,+40767858404,COMERT,BUCURESTI SECTORUL 3,AGENT SERVICII CLIENT(1),4,20260317
COFETĂRIA AURORA SRL,2203214,0786050748,+40786050748,COMERT,TAUTII DE SUS,VÂNZATOR(5),385,20260416
FARBUM SRL,2176039,0744629986,+40744629986,COMERT,BUMBESTI-JIU,GESTIONAR DEPOZIT(1) | SOFER DE AUTOTURISME SI CAMIONETE(1) | AGENT DE VÂNZARI(2) | MANIPULANT MARFURI(1),110,20260416
GLOBELA TRADE SRL,36526082,0721451785,+40721451785,COMERT,ORAS PANTELIMON,MANIPULANT MARFURI(1),17,20260320
SC EXPRESS GARDEN PLANT SRL,49634434,0752246639,+40752246639,COMERT,SANGEORGIU DE MURES,LUCRATOR COMERCIAL(1),1,20260316
EUDARIUS REBBECA SRL,37816122,0757687982,+40757687982,COMERT,VADU PASII,MANIPULANT MARFURI(1),1,20260316
OLTWAM SRL,11179581,0746118221,+40746118221,COMERT,JITARU,LUCRATOR COMERCIAL(1),10,20260326
RO MOTORS SRL,12748766,0764682828,+40764682828,COMERT,CARACAL,LUCRATOR GESTIONAR(5),10,20260316
CREAM SRL,48342423,0740524055,+40740524055,COMERT,SATU MARE,LUCRATOR COMERCIAL(1),1,20260316
S.C. ELECTA COM S.R.L.,5081065,0728188772,+40728188772,COMERT,SLOBOZIA,"OPERATOR INTRODUCERE, VALIDARE SI PRELUCRARE DATE(1)",50,20260403
INDIAMART SRL,48924073,0724266387,+40724266387,COMERT,ARAD,LUCRATOR COMERCIAL(2),54,20260325
PERSONAL PROPERTIES SRL,45497741,0765882314,+40765882314,COMERT,SMEURA,VÂNZATOR(1),21,20260323
KRISTAN PEKSEG SRL,36842476,744148796,+40744148796,COMERT,CRISTURU SECUIESC,VÂNZATOR(1),48,20260414
MUAN S.R.L.,47721291,0742377906,+40742377906,COMERT,MUNICIPIUL IASI,CURIER(7),539,20260416
BARTA ATI SRL,5112404,0261766880,+40261766880,COMERT,SATU MARE,LUCRATOR COMERCIAL(1) | LUCRATOR COMERCIAL(2),5,20260331
RUTHCAKE S.R.L.,46176111,0743820693,+40743820693,COMERT,SATU MARE,COFETAR(2),76,20260331
NIOVEL ROMANIA SRL,39964893,0727777052,+40727777052,COMERT,MIHAIL KOGALNICEANU,REFERENT COMERT EXTERIOR(1),20,20260323
HERMONYS S.R.L.,47609426,0721008066,+40721008066,COMERT,CONSTANTA,REFERENT COMERT EXTERIOR(1),20,20260323
PRODUCTIE SZILA SRL,3859161,0742540121,+40742540121,COMERT,GHELINTA,FASONATOR MECANIC (CHERESTEA)(1),18,20260323
VOLTA ELECTRIC SRL,18037606,0724702632,+40724702632,COMERT,SLATINA,LUCRATOR COMERCIAL(1) | MENAJERA(1),17,20260416
KARAMAN S.R.L.,49126134,0737375583,+40737375583,COMERT,MUNICIPIUL CONSTANTA,REFERENT COMERT EXTERIOR(2),40,20260323
ARYAMO IMPEX S.R.L.,34795955,0741138660,+40741138660,COMERT,SIMERIA,CASIER(1),2,20260316
RENANIA TRADE SRL,8006912,0372.759230,+40372759230,COMERT,TARGU MURES,"OPERATOR INTRODUCERE, VALIDARE SI PRELUCRARE DATE(1) | LUCRATOR GESTIONAR(1) | SECRETARA(1) | ANALIST CUMPARARI/CONSULTANT FURNIZORI(1) | ASISTENT COMERCIAL(1)",527,20260416
ALTFEL SRL,17397674,0755118668,+40755118668,COMERT,SUCEAVA,MANIPULANT MARFURI(1) | GESTIONAR DEPOZIT(1),63,20260331
BUSU ALI-DANI 2006 SRL,18489482,0745030806,+40745030806,COMERT,BOZOVICI,MANIPULANT MARFURI(1),5,20260317
TRK PROFESSIONAL SRL,36389457,0737554468,+40737554468,COMERT,BUCURESTI SECTORUL 1,"TEHNICIAN ANALIST CALITATE(1) | MANAGER DE PRODUS(1) | MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(10)",230,20260403
ALIANCE FAMILY MIXT BUSINESS SRL,51639581,0770774901,+40770774901,COMERT,AMARASTII DE SUS,LUCRATOR COMERCIAL(3),228,20260416
S.C.ELDEIRY COMPANY SRL,43372890,0732113352,+40732113352,COMERT,BUCURESTI SECTORUL 2,AGENT COMERCIAL(4) | LUCRATOR COMERCIAL(2),120,20260323
NICO PET CORAL SRL,16830426,0740/165620,+40740165620,COMERT,BECLEAN,AJUTOR OSPATAR(1),38,20260331
SOFTROM GRUP SRL,16065251,0351401701,+40351401701,COMERT,CRAIOVA,"MANAGER MARKETING (TARIFE, CONTRACTE, ACHIZITII)(2)",76,20260331
RONG MAO SEN GONG SI S.R.L.,49507856,0726554855,+40726554855,COMERT,MUNICIPIUL OLTENITA,LUCRATOR COMERCIAL(4),80,20260323
GOLDEN RAINBOW SRL,33287754,0726554855,+40726554855,COMERT,FUNDENI,LUCRATOR COMERCIAL(2),46,20260324
DM MARKET S.R.L,47719178,0745222247,+40745222247,COMERT,DUMBRAVA ROSIE,VÂNZATOR(1),5,20260317
GOKARMA SRL,54209473,0774039159,+40774039159,COMERT,TARGU SECUIESC,UCENIC(1) | VÂNZATOR(1),50,20260413
AGROPAN IMPEX SRL,15576550,0751049025,+40751049025,COMERT,IASI,BRUTAR(8) | AMBALATOR MANUAL(7) | MANIPULANT MARFURI(5),440,20260324
S.C.NEW STAR FASHION TRADING S,33555792,0726554855,+40726554855,COMERT,MUNICIPIUL CONSTANTA,VÂNZATOR(8),176,20260324
RABONTU MIRELA INTREPRINDERE INDIVIDUALA,28472437,0722558872,+40722558872,COMERT,MUNICIPIUL MOTRU,LUCRATOR GESTIONAR(2) | Receptioner-distribuitor(1),225,20260416
MAX GROUP IMPORT-EXPORT SRL,14279534,0728669682,+40728669682,COMERT,ORAS TARGU NEAMT,LUCRATOR COMERCIAL(2),30,20260320
DI MARKET SRL,50175386,0726554855,+40726554855,COMERT,MUNICIPIUL GHEORGHENI,LUCRATOR COMERCIAL(3),66,20260324
SAVCOM SRL,8319871,0330401330,+40330401330,COMERT,SCHEIA,MANIPULANT MARFURI(5) | MANIPULANT MARFURI(4),318,20260416
REVIAL PROD S.R.L.,45573580,0726554855,+40726554855,COMERT,CERNAVODA,VÂNZATOR(3),57,20260323
JUTEKO SRL,27514194,0768752210,+40768752210,COMERT,BAILESTI,LUCRATOR COMERCIAL(1),15,20260320
HARPLAST SRL,512825,0266371468,+40266371468,COMERT,MIERCUREA CIUC,LUCRATOR COMERCIAL(1),56,20260408
S.C. Y&W ERIK 2018 SRL,39227263,0723111127,+40723111127,COMERT,BACAU,LUCRATOR COMERCIAL(2),38,20260323
ACIMODA S.R.L.,42842446,+40 759 681 781,+40759681781,COMERT,CHIAJNA,MANIPULANT MARFURI(1),19,20260323
ANAIRO SRL,2157363,0253238393,+40253238393,COMERT,TARGU JIU,AGENT DE VÂNZARI(1),13,20260320
PRO TIME S.R.L.,45663739,0742012500,+40742012500,COMERT,CUIED,UCENIC(1),7,20260318
REMETE ANALITYCA SRL,46141156,0752183487,+40752183487,COMERT,REMETEA,AGENT DE VÂNZARI(1) | TEHNICIAN LABORANT ANALIZE PRODUSE ALIMENTARE(1),68,20260416
LIDL DISCOUNT SRL,22891860,000000000,+40000000000,COMERT,SUCEAVA,VÂNZATOR(5) | VÂNZATOR(2),252,20260331
AXER UNIVERS S.R.L.,44201286,0724071014,+40724071014,COMERT,PESTISU MARE,VÂNZATOR(1),14,20260320
