email,company,city,county,sector,employees,contact_name,phone,matched_skills,suggested_positions,cv_available
c.popa@ostenweg.com,OSTENWEG SYSPLAN S.R.L.,Municipiul Medias,Sibiu,,71,,,"construction,driver","Constructii drumuri, operatori utilaje",1
office@consal.ro,CONSAL EDILITARE S.R.L.,Bucuresti Sectorul 4,Bucuresti,,70,,+40213362405,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
ddconstructbt@gmail.com,D&D CONSTRUCT SRL,Municipiul Botosani,Botosani,,70,,+40743794621,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
andreea.nastase@euskadi.ro,EUSKADI SRL,Municipiul Timisoara,Timis,,70,,,"construction,driver","Constructii drumuri, operatori utilaje",1
simona.lazar@nvconst.ro,NV CONST SRL,"Loc. Cisnadie, Oras Cisnadie",Sibiu,,70,,+40727723828,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
icireap@yahoo.com,CRISANA PRO CONSTRUCT SA,Municipiul Salonta,Bihor,,70,,+40259373054,"construction,driver","Constructii drumuri, operatori utilaje",1
florina.ionescu@styleconstruct.ro,STYLE CONSTRUCT SRL,"Sat Bacu, Comuna Joita",Giurgiu,,69,,+40722294127,"construction,driver","Constructii drumuri, operatori utilaje",1
coophategana@yahoo.com,COOP GALATI SOCIETATE COOPERATIVA,Municipiul Galati,Galati,,69,,+40236319416,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@demostrade.ro,DEMO STRADE GROUP AG S.R.L.,Municipiul Iasi,Iasi,,69,,+40773988987,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@roorconstruct.ro,CONSTRUCT RO.OR SRL,Municipiul Timisoara,Timis,,69,,+40723377178,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
info@max-boegl.de,MAX BOEGL ROMANIA SRL,Bucuresti Sectorul 5,Bucuresti,,68,,+40212071710,"construction,driver","Constructii drumuri, operatori utilaje",1
ciprian.bodiu@parapet.ro,PRODFER CONSTRUCT SRL,Bucuresti Sectorul 6,Bucuresti,,67,,+40745601736,"construction,driver","Constructii drumuri, operatori utilaje",1
conta@unicool.ro,UNICOOL INSTALATII FRIG SRL,"Sat Sub Coasta, Comuna Apahida",Cluj,,67,,+40745773299,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
hr@rap-group.ro,RAP INSTAL SRL,Oras Ghimbav,Brasov,,67,,+40268406220,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
elcosgrup@yahoo.com,ELCOS GRUP SRL,Municipiul Tulcea,Tulcea,,66,,+40745776358,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
jess.barratt@proserv.com,PROSERV SA,Municipiul Hunedoara,Hunedoara,,66,,+40722402044,general,Diverse pozitii,45
secretariat.todericasolutions@gmail.com,TODERICA SOLUTIONS SRL,Municipiul Onesti,Bacau,,66,,+40770762588,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
egmsbuc@egms.ro,E.G.M.S. ELECTRO MONTAJ SI SERVICE SRL,Bucuresti Sectorul 6,Bucuresti,,66,,,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
constructim@constructim.ro,CONSTRUCTIM SA,Municipiul Timisoara,Timis,,65,,+40256434644,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
communication@freyssinet.com,FREYROM SA,Bucuresti Sectorul 3,Bucuresti,,65,,+40744567251,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
bacneanuc@gmail.com,BAC SYSTEM CONSULT&CONSTRUCT SRL,Bucuresti Sectorul 3,Bucuresti,,65,,+40754599655,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@hamgroup.ro,HAM TEHNIC SRL,Bucuresti Sectorul 3,Bucuresti,,64,,+40741683386,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@jaluzele-ro.ro,COMFORTEX PRODUCTION SRL,Bucuresti Sectorul 3,Bucuresti,,64,,+40724444499,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@gazpet.ro,GAZPET INSTAL SRL,Municipiul Ploiesti,Prahova,,64,,+40726747808,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
asafteirodica@yahoo.com,VILA GENERAL CONSTRUCT S.A.,Municipiul Tecuci,Galati,,63,,+40724984674,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
ayesha.asad@siemens.com,SIEMENS MOBILITY S.R.L.,Bucuresti Sectorul 6,Bucuresti,,63,,,"construction,driver","Constructii drumuri, operatori utilaje",1
office@restaurantrustic.ro,RUSTIC SRL,Municipiul Baia Mare,Maramures,,63,,+40262276367,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@civilspeed.ro,CIVIL SPEED SRL,Municipiul Ramnicu Valcea,Valcea,,63,,+40741628921,"construction,driver","Constructii drumuri, operatori utilaje",1
sercopadn@yahoo.com,SERCOP ADN SRL,Municipiul Campulung,Arges,,63,,+40248510628,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
gipcraiova@gmail.com,GIP SRL,"Sat Carcea, Comuna Carcea",Dolj,,63,,+40722629717,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@imsatservice.ro,IMSAT SERVICE CLUJ SA,Municipiul Cluj-Napoca,Cluj,,63,,+40264412052,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
kapitan_constrcut@yahoo.com,KAPITAN CONSTRUCT SRL,Municipiul Piatra Neamt,Neamt,,63,,+40233216040,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@electroset.ro,ELECTRO SET S.R.L.,Municipiul Zalau,Salaj,,63,,+40736200926,"construction,driver","Constructii drumuri, operatori utilaje",1
andrada.marincasi@electro-net.ro,ELECTRONET CONCEPT SRL,Municipiul Baia Mare,Maramures,,62,,+40735804913,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
alexandrudragomir@hidrotopconstruct.ro,HIDRO TOP CONSTRUCT SRL,Bucuresti Sectorul 6,Bucuresti,,62,,+40214507409,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@dosetimpex.ro,DOSETIMPEX SRL,Municipiul Timisoara,Timis,,62,,+40256200368,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@electrovest.ro,ELECTRO VEST SRL,Municipiul Cluj-Napoca,Cluj,,62,,+40264274091,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@lubserv.ro,LUBSERV SRL,Municipiul Craiova,Dolj,,62,,+40740304719,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
radu.construct@yahoo.com,NICOL ROM SRL,Municipiul Cluj-Napoca,Cluj,,62,,+40264435222,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@ursconstruct.ro,URS CONSTRUCT ALBA SRL,Municipiul Alba Iulia,Alba,,61,,+40758316748,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
lekoconstruct.@yahoo.com,LEKO CONSTRUCT SRL,Municipiul Oradea,Bihor,,61,,+40744252308,"construction,driver","Constructii drumuri, operatori utilaje",1
office@tema-energy.ro,TEMA ENERGY S.A.,Bucuresti Sectorul 2,Bucuresti,,61,,+40212552737,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
e-mailgrup4@grup4cj.ro,GRUP 4 INSTALATII SA,Municipiul Cluj-Napoca,Cluj,,61,,+40264596168,"construction,driver","Constructii drumuri, operatori utilaje",1
office@conlangrup.ro,CONLAN SRL,Municipiul Sibiu,Sibiu,,61,,,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@larapeuconstruct.ro,LARAPEU CONSTRUCT SRL,"Sat Sutesti, Comuna Sutesti",Braila,,61,,+40762627816,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@sanimed.ro,SIMCO INTERNATIONAL IMPEX SRL,Bucuresti Sectorul 4,Bucuresti,,60,,+40729881342,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@lpv.ro,PROIECT CONSULT SRL,Municipiul Sibiu,Sibiu,,60,,+40269217721,"construction,driver","Constructii drumuri, operatori utilaje",1
office@blejkan.ro,BLEJKAN CONSTRUCT S.R.L.,Bucuresti Sectorul 3,Bucuresti,,60,,+40744628669,"construction,driver","Constructii drumuri, operatori utilaje",1
office@netcom-activ.ro,NETCOM ACTIV SRL,"Sat Scheia, Comuna Scheia",Suceava,,60,,+40230521268,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
tehnoinstalconta@yahoo.com,TEHNOINSTAL SRL,Municipiul Targu Jiu,Gorj,,60,,+40253206067,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@tarmv.ro,TAR M.V. SRL,Municipiul Iasi,Iasi,,60,,+40232232574,"construction,driver","Constructii drumuri, operatori utilaje",1
georgelunguleasa@yahoo.com,COFIT CONSTRUCT SRL,Municipiul Targu Mures,Mures,,60,,+40026544032,horeca,"Bucatari, ospatari, barmani",4
btgroup.office@gmail.com,BOB TOP GROUP SRL,Municipiul Galati,Galati,,59,,+40072886262,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
morosan_doina@yahoo.com,MAGHEBO SRL,Municipiul Campulung Moldovenesc,Suceava,,59,,+40744268462,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
reimarconstruct@yahoo.com,REIMAR CONSTRUCT S.R.L.,Bucuresti Sectorul 4,Bucuresti,,59,,+40757986330,"construction,driver","Constructii drumuri, operatori utilaje",1
architecture@hub.com,GOTT STRASSE SRL,Municipiul Brasov,Brasov,,59,,+40745080244,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@constar-grup.ro,CONSTAR GRUP SRL,Bucuresti Sectorul 3,Bucuresti,,59,,+40213134379,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@rasub.ro,RASUB CONSTRUCT SRL,Municipiul Slatina,Olt,,59,,+40729007165,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
crisgoserv@yahoo.com,AXA TRANS CONSTRUCT SRL,"Sat Cornetu, Comuna Cornetu",Ilfov,,59,,+40722296929,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
fallowblejoi@yahoo.com,FALLOW SRL,Comuna Blejoi,Prahova,,58,,+40722675166,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
olga.savu@capabil.ro,CAPABIL SRL,Municipiul Timisoara,Timis,,58,,+40256499644,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
consultanta.energie@maurerimobiliare.ro,MAURER IMOBILIARE S.R.L.,Municipiul Brasov,Brasov,,58,,+40368401496,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
info@condorhotel.ro,CONDOR SRL,"Loc. Babadag, Oras Babadag",Tulcea,,58,,+40743045315,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@instalgroup.ro,INSTAL GROUP SRL,Municipiul Arad,Arad,,58,,+40722397414,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
corporate@wiren.com,WIREN ROMANIA S.R.L.,Municipiul Arad,Arad,,57,,+40749200544,"construction,driver","Constructii drumuri, operatori utilaje",1
prodzobconstructii@yahoo.com,PROD ZOB CONSTRUCTII SRL,"Sat Bixad, Comuna Bixad",Satu Mare,,57,,+40261844133,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
jobs@lear.com,LAMAR CORPORATION SRL,Bucuresti Sectorul 5,Bucuresti,,57,,,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
%20office@edil-bausteel.ro,EDIL - BAUSTEEL SRL,"Loc. Salistea de Sus, Oras Salistea de Sus",Maramures,,57,,+40262342624,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
canova_ccm@yahoo.com,CANOVA CCM SRL,Municipiul Timisoara,Timis,,57,,+40758062263,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@hidronic.ro,HIDRONIC SRL,"Sat Valcele, Comuna Feleacu",Cluj,,56,,+40264454900,"construction,driver","Constructii drumuri, operatori utilaje",1
deltaconstructii@yahoo.com,DELTA CON SRL,Municipiul Dorohoi,Botosani,,56,,+40231615151,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
gunengiltaha@gmail.com,CONSUS ELECTRIC SRL,Municipiul Targu Mures,Mures,,56,,+40265266539,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
zionut099@gmail.com,ANDRA ZAH BUILDING S.R.L.,"Sat Vladeni, Comuna Vladeni",Dambovita,,55,,+40738143147,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
ioana_tudor08@yahoo.com,MILAR CONSTRUCT SRL,"Sat Adjudeni, Comuna Tamaseni",Neamt,,55,,+40747606722,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
gratiellap@yahoo.com,ELECTROSISTEM SRL,Municipiul Galati,Galati,,55,,+40236326082,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
adelisecompany@gmail.com,AGIOS SRL,Municipiul Galati,Galati,,55,,+40236311934,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
lucia.tuta@tomisdev.ro,TOMIS PLUS SRL,Municipiul Constanta,Constanta,,54,,+40241515233,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
elsaco@elsaco.com,ELSACO SOLUTIONS SRL,"Sat Catamaresti-Deal, Comuna Mihai Eminescu",Botosani,,54,,+40231506070,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@formin.ro,FORMIN SA,Municipiul Caransebes,Caras-Severin,,54,,511250,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
ofertare@valoris-electrice.ro,VALORIS SRL,Municipiul Ramnicu Valcea,Valcea,,53,,+40250732227,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@vinstal.ro,V A ENGINEERING INSTAL SRL,Bucuresti Sectorul 5,Bucuresti,,53,,+40721217214,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
nepinstal@gmail.com,NEXO INSTALCONSTRUCT SRL,Bucuresti Sectorul 3,Bucuresti,,53,,+40770777000,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@drupogrup.ro,DRUPO GRUP SRL,Bucuresti Sectorul 6,Bucuresti,,53,,+40722646864,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@termhidro.ro,TERMHIDRO SRL,Municipiul Braila,Braila,,53,,+40239606006,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@hoteleros.ro,ERAOS SA,"Sat Fantanele, Comuna Fantanele",Constanta,,53,,+40722219800,"construction,driver","Constructii drumuri, operatori utilaje",1
office@electrogrup-sedo.ro,ELECTRO GRUP SRL,Municipiul Zalau,Salaj,,53,,+40740486105,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
contact@td-proelectric.ro,T&D PRO ELECTRIC SRL,Bucuresti Sectorul 1,Bucuresti,,52,,+40745404417,"construction,driver","Constructii drumuri, operatori utilaje",1
catalin.aporcaritei@ciboco.ro,CIBOCO SRL,"Loc. Negresti, Oras Negresti",Vaslui,,52,,+40740794064,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
multiconsult.adventure@gmail.com,MULTICONSULT ADVENTURE SRL,Bucuresti Sectorul 6,Bucuresti,,52,,+40728302610,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@ralbi.ro,RALBI DEVELOPMENT SRL,Bucuresti Sectorul 1,Bucuresti,,52,,+40740148312,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
alle_sandy@yahoo.com,TRANS-SIMY SRL,"Sat Jelna, Comuna Budacu de Jos",Bistrita-Nasaud,,52,,235604,"construction,driver","Constructii drumuri, operatori utilaje",1
office@melsam.com,MELSAM CONSTRUCTION SRL,Bucuresti Sectorul 1,Bucuresti,,52,,+40729036751,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
ddconstructbt@gmail.com,NED CONSTRUCT SRL,Municipiul Craiova,Dolj,,52,,+40745771341,"construction,driver","Constructii drumuri, operatori utilaje",1
pronaty21@gmail.com,SMART GLOBAL TEHNIC S.R.L.,Oras Popesti Leordeni,Ilfov,,51,,+40768552066,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
mbconstructionrealestate@gmail.com,MB CONSTRUCTION ENGINEERING & REAL ESTATE S.R.L.,"Sat Mihai Bravu, Comuna Mihai Bravu",Giurgiu,,51,,+40724251976,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
romconstructsa@yahoo.com,PROCONSTRUCT SRL,"Sat Blejoi, Comuna Blejoi",Prahova,,51,,+40244171652,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
contabilitate@ungureanutrans.ro,UNGUREANU TRANS S.R.L.,Municipiul Iasi,Iasi,,50,,+40745834117,"construction,driver","Constructii drumuri, operatori utilaje",1
office@concelex.ro,CONCELEX ENGINEERING SRL,Bucuresti Sectorul 1,Bucuresti,,50,,+40213185489,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@cosmopolit.ro,COSMOPOLIT GENERAL CONSTRUCT S.R.L.,Municipiul Brasov,Brasov,,50,,+40768199303,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
mastersinaia@gmail.com,MASTER SA,"Loc. Navodari, Oras Navodari",Constanta,,50,,+40241762613,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
